视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
3,https://www.youtube.com/watch?v=ugIaJxVw080,21:36,教学 - 医疗,1,What does febrile mean?,通用知识推理,Having or showing the symptoms of a fever.,发烧症状的主要表现包括体温上升、寒战，部分患者还会出现乏力、食欲减退以及咳嗽等现象 1、体温上升： 正常情况下，人体体温维持在36-37℃之间，而发烧时体温可超过37.3℃，并可能持续上升，甚至达到39℃以上，属于发烧的初级阶段，相对较轻。 2、寒战： 随着体温的上升，患者常感到畏寒，并伴有寒战，是由于皮肤血管收缩以减少热量散失，骨骼肌不自主地收缩以产生热量,模型需定位多个片段，包括动画片中男孩的颤抖，痛苦的神情，以及Mike对于他病情的解释等,,,,,,,,,,
,,,,2,What is SCD in medical field?,通用知识推理,Sickle Cell Disease.,镰状红细胞可引起血管闭塞，且易造成溶血，从而导致严重的痛性危象、器官缺血和其他系统性并发症。 其常发生急剧恶化（危象）。 感染、骨髓再生不良、或肺部受累（急性胸部综合征）可急性进展且常是致命的。,模型给需定位多个片段，包括男孩病情的介绍，以及对于他诊断结果的解释，Mike判断他可能患有镰状细胞病，阻挡血液流动，病情很严重。,,,,,,,,,,
,,,,3,Does Mike know a lots about the hypervitaminosis A?,人物属性建模,No.,,"视频中的病患被诊断出可能患有hypervitaminosis A，博主根据这个词的字面含义稍微进行了下解释，但说到“How she knows that, I don't know”,表明博主对hypervitaminosis A并不了解",,,,,,,,,,
,,,,4,What's the blogger's profession?,"多线索推理,人物属性建模",Doctor.,,Mike对动画片中的各种医疗手段做出评价，表现得非常专业，身上还穿着医疗制服，而且说到有些人并不知道自己得了阑尾炎，在她们找自己时情况已经非常严重了，可见博主是个医生,,,,,,,,,,
,,,,5,What help can we seek when someone needs first aid?,多线索推理,AED,,模型需定位多个片段，包括Takao医生接到急诊电话时，听到的关于急诊病人的病情状况，以及做出的急救措施，他们已经使用了AED，即便携的人体自动体外除颤器,,,,,,,,,,
4,https://www.youtube.com/watch?v=hA2XyQWUOeQ,22:13,vlog - 出行,1,What is Sarah's profession?,"多线索推理,人物属性建模",She is a lash lift technician.,,根据vlogger的描述，莎拉为她完成睫毛提升手术，且提到她的专业主页，表明她以此为职业，再结合工作地点“Film High Street”（商业街道），这个地方方便购物，没有提及莎拉其他背景，故可以推断莎拉是一名睫毛提升技师。,,,,,,,,,,
,,,,2,What is the vlogger's profession?,"多线索推理,人物属性建模",An obstetrician.,,根据vlogger的叙述，她在医院产房和主手术室工作，在妇产科和产房值班加上作为F2（基础医生第二年）在急诊室（A&E）工作，故可以判断她是产科医生。,,,,,,,,,,
,,,,3,What do Iranians usually do on Sizdah Bedar?,"多线索推理,通用知识推理",They have outdoor gatherings.,根据vlogger的描述，她准备与伊朗朋友去公园野餐，庆祝Sizdah Bedar（伊朗新年后的第13天），传统上“会出去坐在公园之类的地方，基本上是在大自然中”，故可以判断节日这一天伊朗人会去户外聚会。,模型需要根据问题去提取vlogger对于Sizdah Bedar这一天活动的描述去推断伊朗人这一天会干嘛，根据描述可以推出伊朗人一定和朋友出去的，故可以在这一天他们会户外聚会。,,,,,,,,,,
,,,,4,What are the environmental features of a hospital’s main operating room?,"多线索推理,通用知识推理",It is enclosed and without natural light.,根据vlogger的叙述，她的主手术室没有窗户，她看不到外面的任何情况，故可以判断出医院主手术室具有封闭无光的环境特点。,模型需要根据问题，去提取vlogger对于医院主手术室的描述信息，vlogger提到主手术没有窗户，她不知道外面的情况，甚至有人告诉她天气晴朗时，她都不知道，因为没法看到。故可以判断出，主手术室具有封闭无光的环境特点。,,,,,,,,,,
,,,,5,Did the vlogger’s parents go to the park for a picnic together?,多线索推理,Yes.,,根据vlogger的叙述，“欢迎妈妈来到我的vlog”，“我爸爸正在停车”，可以判断她的父母也一起来参加野餐了。,,,,,,,,,,
5,https://www.youtube.com/watch?v=SLW5_oJdjrw,23:15,测评 - 美妆产品,1,Is the bottle of ILIA super serum skin tint SPF 40 shaped like a baby bottle or a beverage bottle?,通用知识推理,A baby bottle.,博主也说了瓶子的尖端部分是橡胶的，说它像实验室的药水瓶也行，肯定不像饮料瓶。,博主一开始没怎么介绍瓶子本身，试用结束了倒是介绍了一番瓶子的材质，是可回收PE。瓶子形状很像婴儿用的奶瓶。,,,,,,,,,,
,,,,2,What does Kackie use to add before applying liquid foundation?,"多线索推理,人物属性建模",Beauty oil.,,博主说可能有的人认为涂粉底液前不要涂太多东西，但自己是干性皮肤，并不觉得涂粉底液前涂一点美容油是个bad idea，美容油可以让粉底液更好地发挥功效，因此，她有用美容油的习惯,,,,,,,,,,
,,,,3,"Are Thinksun, Thinkbaby, and thinksport products with very different ingredients?",通用知识推理,No.,她提到了thinksun/thinkbaby/thinksport，吐槽道其实成分差不多少，只是针对不同用途和人群而已，并不是差距很大的产品。,博主在试用ILIA之前介绍了它的矿物成分，顺便提到自己脸上已经涂了Thinksun的产品，能看到画面给出了该产品的外观，也是主打mineral-based的。但是博主话锋一转，笑眯眯说道这个商家总在改名字。,,,,,,,,,,
,,,,4,Does ILIA SPF 40 come in a pump or a dropper?,"多模态/多语言推理,通用知识推理",Dropper.,从瓶身外观也能看出来应该是没有按压点的，尖端的白色帽子可能就是滴管用的，博主取液体的过程证明了这一点。,定位到博主正式试用的片段，她把取出液体的过程了拍了出来，是一滴滴挤出来的，不是按压出来的。,,,,,,,,,,
,,,,5,Did Kackie apply Thinksun or Mills' Florence after applying ILIA SPF 40?,多跳推理,Mills' Florence.,,thinksun产品是已经涂在博主脸上了的，她只是提了一嘴，实际上用完ILIA又用了MILLS的产品。,,,,,,,,,,
,,,,6,Does Kackie pay attention to sun protection？,"多线索推理,人物属性建模",Yes.,,博主在测评一款散粉时，着重提到了它有SPF，自己非常喜欢这一点，而SPF值代表防晒指数，说明博主喜欢防晒类产品，注重防晒,,,,,,,,,,
,,,,7,How many ILIA physical products did Kackie show in this video?,多线索推理,Two.,,博主提及的ILIA产品其实有三个，为了对比新款SPF 40和上一代的区别，但实际测评的只有SPF 40和一款绿色盒子的产品，就两个。,,,,,,,,,,
6,https://www.youtube.com/watch?v=fkDLM8Codak,21:11,vlog - 烹饪,1,Is Sarah a loving or serious mom?,"多线索推理,人物属性建模",Loving.,,每一次莎拉和两个孩子互动的时候，都是很有耐心，多多鼓励，可可爱爱的样子，她情绪稳定，是个很有爱的母亲。,,,,,,,,,,
,,,,2,Does Sarah's son Fox have blue eyes or dark eyes?,人物属性建模,Blue.,,定位到Fox近景镜头，他的眼珠子是蓝色的，远看看不太出来。,,,,,,,,,,
,,,,3,Is the store Sixsmith suitable for children?,通用知识推理,Yes.,看得出店员面对Fox非常亲切，而且屏幕右侧还有另外一个家庭带着孩子来用餐，小孩子坐在很高的椅子上，不知道是不是专门给小孩子准备的。可以确定这家店善待小朋友，也有小朋友能吃的东西。,定位到Fox骑着小车车出门的片段，可以看到Fox戴着他的头盔来到了一家好像叫Sixsmith的咖啡店，他站在收银台前面跟店员交流。,,,,,,,,,,
,,,,4,Did Fox go to the beach or go home after leaving the cafe?,多跳推理,Beach.,,莎拉一家去完咖啡店就陪Fox去他心心念念的海滩了，玩完了才回家。,,,,,,,,,,
,,,,5,Does Bunnings only offer adult shopping carts?,"多模态/多语言推理,通用知识推理",No.,fox的购物车明显是迷你型号的，这家店给小孩子也准备了购物车，不是只有一种型号。,爸爸提议去Bunnings找点乐子，然后镜头就转到了一家子往Bunnings去的画面，在停车场说说笑笑，然后就推车购物去了，Fox自己推了一台车。,,,,,,,,,,
,,,,6,Does Sarah's warehouse only have one floor?,多模态/多语言推理,No.,,两口子开车准备去warehouse考察，在路上就聊起来了，提到了给warehouse增添艺术设计的部分，但没说warehouse到底长啥样。过了一会儿来到warehouse，能看到这是个至少两层的建筑，一群女性艺术家正在给墙面涂鸦。,,,,,,,,,,
,,,,7,How many shapes of cookies did Sarah and Fox make?,多线索推理,Two.,,定位到莎拉和儿子做饼干的画面，观察两个人使用的模具，以及烤完的饼干罐子里饼干的形状，只做了两种形状的饼干。,,,,,,,,,,
7,https://www.youtube.com/watch?v=d7G6qIVvQsk,42:25,纪录片 - 自然,1,Do the people of the Huli tribe wear shoes usually?,"多线索推理,通用知识推理",No.,即使在部落之外，在市场里或者其他活动场合，也只有一部分人穿了鞋子，森林部落里的人平常应该是不怎么穿鞋的。,定位到介绍Mundiya和部落里的人聚集，准备欢迎Redly的片段。可以看到无论男女老少基本都是光着脚丫子的。,,,,,,,,,,
,,,,2,Is Mundiya's son a teenager or in his 30s?,"人物属性建模,多模态/多语言推理",Teenager.,,定位到Mundiya来到小溪边的片段，旁白先介绍了儿子叫Mapira，Mundiya身后确实跟着一个孩子，等到Mundiya发现了cassowary的脚印时，才叫出旁边孩子的名字，确实是他儿子，还是个小孩子。,,,,,,,,,,
,,,,3,Does a cassowary sound like a rooster?,"多模态/多语言推理,通用知识推理",No.,鸡叫一般比较尖细短促，cassowary的声音充满磁性，比较可怕。,Mundiya跟踪到脚印之后过了一会儿，镜头才给到一只彪悍大鸟，叫起来比较低沉吓人，根本不像鸡叫。,,,,,,,,,,
,,,,4,Does Mundiya have curly or straight beard?,人物属性建模,Curly.,,Mundiya的大胡子很有特色，好像年长的男子都留这种胡子，看起来像故意烫的卷卷儿。,,,,,,,,,,
,,,,5,Does John Auga not speak English at all?,人物属性建模,No.,,John是研究中心的负责人，他向Mundiya展示了许多蝴蝶、昆虫标本。他大部分时间说着当地语言，偶尔蹦出几个英文单词，而且他是个研究员，应该多少会一些英语的。,,,,,,,,,,
,,,,6,Is Mundiya a patient or impatient person?,"多线索推理,人物属性建模",Patient.,,比如他教儿子识别鸟类的脚印，在Redly被部落村民质疑的时候向大家幽默解释，懂得周旋，很有耐心。,,,,,,,,,,
,,,,7,"Do people in the Sepik region use leaves or feathers for a ""sing-sing"" ritual ?","多模态/多语言推理,通用知识推理",Leaves.,虽然森林里的人们钟爱羽毛，但羽毛基本是插在头饰上的，这个欢迎仪式明显用的是树枝树叶。,Mundiya来到Speik低纬度地区，村民们准备了叫“sing-sing”的欢迎仪式，村民们载歌载舞，手里晃着绿色或黄色的东西。,,,,,,,,,,
,,,,8,Do women in the Sepik region prefer colorful or monotonous clothing?,"多线索推理,通用知识推理",Colorful.,也不仅是女人的服装，部落人民喜欢在头上、脸上等等用上各种颜色的装饰，而且还是取自大自然的材料，这里的人都爱五彩斑斓。,从sing-sing欢迎仪式看不太出村民的衣着，但在大家去示范区考察的时候，俯拍镜头和讲解授粉的片段，都能看见女人们的着装颜色各异，以及爽朗恣意的笑声。,,,,,,,,,,
,,,,9,Did Mundiya go to a market or to his own tribe after leaving the entomology research center?,多跳推理,A market.,,Mundiya跟着Redly去看了研究所的各种标本，然后坐着绿色的越野车离开，中途还换乘了别的车，目的地是一个市场，他没回部落。,,,,,,,,,,
,,,,10,Is Mundiya the only one in his tribe who wears a nose ornament?,多线索推理,No.,,最开始介绍Mundiya自己的片段，其实有另外一个上岁数的人也在鼻子中间插了东西，可能是部落里有一定地位的人才能这么做，Mundiya不是唯一。,,,,,,,,,,
8,https://www.youtube.com/watch?v=6tlJqtpv3RQ,28:56,教学 - 烹饪,1,Are you only able to buy small bags of onions at Macro in Thailand?,通用知识推理,No.,虽然妮蔻也说了这家店有点小，但是想一次性购买大量洋葱还是很方便的，超市准备了超大袋子包装的洋葱和其他蔬菜。,定位到妮蔻和朋友逛蔬菜区的片段，他们挑了不少小袋包装的菜，比如茄子和绿叶菜，也在白皮和紫皮洋葱区待了很久，可以看到背景里有跟大米袋子一般大的东西。,,,,,,,,,,
,,,,2,Can I only use my bare hands to pick fruits at Macro in Thailand?,通用知识推理,No.,不仅是水果区，妮蔻的朋友去铲搅好的肉馅时，也戴了一次性手套，这家超市在挺多区域都为顾客提供了一次性手套。,定位到水果区，妮蔻在卖橘子的摊位停留了一会儿，能看到摊位侧面挂着整齐的一沓一次性手套，应该是留给顾客挑水果用的。,,,,,,,,,,
,,,,3,What did Niccole and her friend buy before choosing noodles?,多跳推理,Fresh cocnut.,,买完奶制品，妮蔻和朋友们就往面条区走，中途有被别的商品吸引，但是没买。,,,,,,,,,,
,,,,4,Is Niccole serious or perfunctory when learning new skills?,人物属性建模,Serious.,,妮蔻的泰国朋友亲自切蔬菜给她看，她看不明白还要求朋友再来一次，实际操作的时候也小心翼翼，挺认真的人。,,,,,,,,,,
,,,,5,Is Mike a kind or cold person?,人物属性建模,Kind.,,迈克应该是那个穿红衣服的男人，妮蔻学着切菜的时候，迈克一直在对面鼓励她，不知道他俩的关系，但是迈克人挺好的。,,,,,,,,,,
,,,,6,How many red peppers did Niccole and her friends drop in total?,多线索推理,Three.,,定位到朋友教妮蔻切辣椒的片段，盘子里本来洗好了4根辣椒，朋友示范切了一根，妮蔻自己切了两根，最后盘子里一直剩下一根，所以用掉了3根。,,,,,,,,,,
,,,,7,Did Niccole and her friend use the chicken they bought to make curry or soup?,多模态/多语言推理,Curry.,,妮蔻和朋友们在肉制品区买了不少东西，买鸡肉的时候并没有说要做什么菜。之后妮蔻在朋友的帮助下切菜下厨，可以看到这些鸡肉最后和咖喱一起下锅了。,,,,,,,,,,
9,https://www.youtube.com/watch?v=8EJe32pKIpY&t=3s,21:28,教学 - 医疗,1,What color are the uniforms of the Paramedic?,通用知识推理,Green.,两位工作人员穿着整齐一致的衣服，一定是该机构的制服，这套衣服基本全绿。,Mary打完999之后，有两个穿着军绿色制服的一男一女来到Mary家里，可以看到他俩衣服的肩章、背包等物件上写着Paramedic。,,,,,,,,,,
,,,,2,In which city do John and his mother live?,人物属性建模,London.,,还是Paramedic的衣服细节，男员工肩膀上有London Emergency Service字样，而且他们出门后上的急救车也有相同字样，这件事发生在伦敦，他们住在伦敦。,,,,,,,,,,
,,,,3,Did it take the Paramedic staff more or less than one hour to convince John to go to the hospital?,多线索推理,Less than one hour.,,需要注意parameidc员工来到玛丽家门口，和John准备跟他们走字幕提示的时间，他们是11:43来的，12:37约翰被说服了，不到一个小时。,,,,,,,,,,
,,,,4,What colour are London's emergency services ambulances?,通用知识推理,Yellow.,虽然车身也有少量绿色区域，大部分都是黄色的，跟员工制服的绿色也很配套。,约翰被说服后准备上paramedic的急救车，可以看到急救车上London Emergency Service字样，也能看清车辆的颜色。,,,,,,,,,,
,,,,5,Is Ben white or black?,"人物属性建模,多模态/多语言推理",Black.,,到了医院后，第一位询问John状况的是一位黑色皮肤的医生，但是他没做自我介绍，下一位女医生Ruth提了一嘴刚才的医生叫Ben。,,,,,,,,,,
,,,,6,Which doctor came to see John after Ben?,多跳推理,Ruth.,,模型需要定位到Ben看望John的片段，随后紧跟视频画面，确定下一位来看John的医生是谁,,,,,,,,,,
10,https://www.youtube.com/watch?v=2TEIJ4EU5Qk,23:26,vlog - 烹饪,1,Is Barry very rebellious?,人物属性建模,Yes.,,视频中Barry反复强调“Crime Time”，并刻意打破法国传统烹饪规则（如用交通锥制作倒置的泡芙塔、使用预制品替代自制材料）。他自嘲“我的野心是最大的罪行”，表明他对权威和规则的反抗倾向。,,,,,,,,,,
,,,,2,What is Mike’s implied professional background?,人物属性建模,TV show participant.,,视频中Kush提到“I used to work that programme”，暗示Mike曾参与某电视节目。此外，Mike在挑战中表现出对节目流程的熟悉，进一步佐证他可能有电视节目制作经验。,,,,,,,,,,
,,,,3,How many dishes appear in the video?,多线索推理,Three.,,视频中三人各完成一道独立菜品，“反叛泡芙塔”，“湿漉漉的Mac islak汉堡”和“反叛意大利调味饭”。,,,,,,,,,,
,,,,4,Why is isomalt used instead of caramel in pastry?,通用知识推理,Easier to shape.,Barry用isomalt替代焦糖粘合泡芙塔，评委Ebbers指出“isomalt更易操作但不受糕点师青睐”，由此可以推理得出结论。,视频中Barry用isomalt替代焦糖粘合泡芙塔，评委Ebbers指出“isomalt更易操作但不受糕点师青睐”。由此推断isomalt的优势在于可塑性强。,,,,,,,,,,
,,,,5,What rice is traditionally used in risotto?,通用知识推理,Arborio rice.,Jamie用长意大利面代替传统米，Ebbers批评“意大利调味饭应用arborio米（短粒米）以释放淀粉”。,视频中Jamie用长意大利面代替传统米，Ebbers批评“意大利调味饭应用arborio米（短粒米）以释放淀粉”。由此可以推理得出结论传统米种为arborio。,,,,,,,,,,
11,https://www.youtube.com/watch?v=dm22FhhRL4k,26:27,vlog - 烹饪,1,What is Muhammad's nationality?,人物属性建模,Moroccan.,,视频中提到Muhammad是摩洛哥美食之旅的联合创始人，并讨论了摩洛哥与法国殖民历史的关系。他提到摩洛哥人普遍说法语，且在介绍肉类文化时多次强调“我们摩洛哥人”，结合其参与的本地文化推广活动，可推断他是摩洛哥人。,,,,,,,,,,
,,,,2,Is Mustafa good at cooking?,人物属性建模,Yes.,,视频中Mustafa亲自分解鱼、调配酱料并主导烹饪流程这些步骤十分熟练，由此可以得知他厨艺精练。,,,,,,,,,,
,,,,3,How many dishes appear in the video?,多线索推理,Six.,,视频中一共出现了六道菜，分别是九种肉的三明治，酿羊肉，海鲜煎蛋饼，用牛网油包裹的牛肝，骆驼香肠以及骆驼肉和驼峰肉串。,,,,,,,,,,
,,,,4,Why do people put vermicelli in stuffed lamb?,通用知识推理,Lock in the flavor.,粉丝浸泡在各种调料和混合物中，能够锁住味道，防止脂肪流出导致味道流失，由此可知粉丝在酿羊肉中的作用是锁住味道。,视频中他们将粉丝浸泡在各种调料和混合物中，能够锁住味道，防止脂肪流出导致味道流失，由此可知粉丝在酿羊肉中的作用是锁住味道。,,,,,,,,,,
,,,,5,Is tuna suitable for cooking with other foods?,通用知识推理,No.,金枪鱼的味道太浓烈，与鸡蛋等其他食材搭配在一起可能会破坏海鲜煎蛋饼的整体味道平衡，所以不把金枪鱼与其他食材放在一起烹饪。,视频中提到金枪鱼的味道太浓烈，与鸡蛋等其他食材搭配在一起可能会破坏海鲜煎蛋饼的整体味道平衡，所以不该把金枪鱼与其他食材放在一起烹饪。,,,,,,,,,,
12,https://www.youtube.com/watch?v=yhskj3vhWGY,27:20,测评 - 工具/机械,1,What is Jerry's relationship to Joby?,"多线索推理,人物属性建模",They're colleagues.,,视频中两人共同参与测试，且协作完成主持、驾驶、数据计算等任务（如 Jerry 负责数学计算刹车距离，Joby 负责驾驶常规 Raptor），由此可以推断出两人是同事。,,,,,,,,,,
,,,,2,Does Mitch really like racing?,人物属性建模,Yes.,,视频中Mitch的目标以及在测试中展现出专业驾驶技巧，都表明他对赛车的热爱远超普通职业选择，所以得出结论，他热爱赛车。,,,,,,,,,,
,,,,3,What is the test before the combined time trial?,多跳推理,Brake Performance Test.,,先定位到综合计时赛的相关片段，在定位到刹车性能测试的相关片段。,,,,,,,,,,
,,,,4,What factor primarily reduces the T1 Plus' braking distance vs the base Raptor?,通用知识推理,Weight reduction.,"T1 Plus 比基础版轻 ""1,800 lb""，并提到 ""weight is the main factor in braking performance""，由此可以推理得出结论Weight reduction。","视频中对比两车制动性能时，提到T1 Plus 比基础版轻 ""1,800 lb""，并提到 ""weight is the main factor in braking performance""，由此可以推理得出结论Weight reduction。",,,,,,,,,,
,,,,5,"Which is a better choice for extreme conditions, V6 or V8?",通用知识推理,V8.,T1 Plus 使用 V8 在沙漠赛道圈速快 44 秒（2:50 vs 3:34），且制动、跳跃稳定性均优于 V6 版本。,视频中T1 Plus 使用 V8 在沙漠赛道圈速快 44 秒（2:50 vs 3:34），且制动、跳跃稳定性均优于 V6 版本，由此可以推理得出结论，选择V8。,,,,,,,,,,
13,https://www.youtube.com/watch?v=wNcmD-GXfaQ,21:42,纪录片-历史纪实,1,Is David a logical person or careless person?,人物属性建模,Logical.,,模型需定位到david介绍自己对星门以及传输物体的看法的片段，他将星门以及传说中可以让人穿梭的神器视作一种可以将人带到另一个维度，再带回来，或者再地球上旅行，有可能到达宇宙的另一个地方。从他的推测可以看出他是一个逻辑缜密的人。,,,,,,,,,,
,,,,2,Is Christopher a person who dare to ask questions or lack innovation?,人物属性建模,Dare to ask questions.,,模型需定位到christopher谈论印加人对巨石形状的塑造的片段，他提到我们会用钻石切割花岗岩，而印加人的巨石上的造型是有什么切割？他提出这让他们不禁疑惑印加人是否用了某种古代的工具或者其他力量在起作用。由此可知他是一个敢于提出疑问的人。,,,,,,,,,,
,,,,3,What color are space brothers?,多模态/多语言推理,Gold and sliver.,,模型需定位到jorge介绍这种特殊的现象可能来自于其他的星座和星球，在语言中称之为非英语，并且这些现象与宇宙兄弟有关，这时纪录片中展示了宇宙兄弟的照片，通过观察他们是金色和银色的。,,,,,,,,,,
,,,,4,"Which culture is older, the Circo or the inca culture?",通用知识推理,the Circo.,视频中介绍印加石雕的来源，大家都认为这是印加人建造的，但实际上，基尔克文化在大概1000多年前就在此地建造过较古早的文明，但是许多印加人认为该地的石雕起源于未命名的种族。由此可知基尔克文化早于印加人。,模型需定位到介绍印加人的石雕的片段，还介绍了在此地1000多年前就有基尔克文化，由此可知，基尔克文化早于印加人。,,,,,,,,,,
,,,,5,Did inca culture have machinery to build?,通用知识推理,No.,视频中john提到现在我们会用大型机器搬运石块，但是在印加时代他们会使用大量的人力，一块巨石大概需要10-20人搬运。由此可知印加时代是没有机器可用于建造的。,模型需定位到介绍印加时代如何搬运巨石的片段，john提到印加时代使用大量人力，由此可知他们是没有机器的。,,,,,,,,,,
14,https://www.youtube.com/watch?v=nSKtlFyzbAg,20:17,探索 - 参观,1,What is Dennis's nationality and current country of residence?,"多线索推理,人物属性建模","English, Indonesia.",,"视频提到 Dennis 是英国人（""English man""），且在 2003 年搬到托巴（Toba）并长期居住（""first come here in February 2003""）。模型通过迁移时间和长期居住状态推断其现居印度尼西亚（Toba 位于印尼苏门答腊岛）。",,,,,,,,,,
,,,,2,What was Dennis's former profession in England?,人物属性建模,Driving instructor.,,"视频中明确提到 ""I was a driving instructor for about 40 years""，模型需要判断这是他之前在英国的职业。",,,,,,,,,,
,,,,3,Which location does Sean prefer to live in?,"多跳推理,人物属性建模","Toba, Indonesia.",,"Sean 提到 ""I would say I'll live here""（""here"" 指 Toba），并对比英国的社交活动限制，推断他更倾向印尼。模型需结合上下文排除干扰项（如短期旅行偏好）。",,,,,,,,,,
,,,,4,Why is land purchase near Toba considered a long-term investment?,通用知识推理,Future tourism infrastructure development.,"Dennis 提到购买土地时提到未来道路扩建（""they can allow concrete all the way through""）和游客增长潜力。",模型需从土地用途和区域规划推断旅游业的增值逻辑。,,,,,,,,,,
,,,,5,What's the most common transportation in Toba?,"多模态/多语言推理,通用知识推理",Motorbike.,视频开头博主说到之前有一位到Toba来的英国人建了当时最大的房子，随后指着旁边的一个房子说到就是这里，可知博主是在Toba，由视频画面可知Toba是个小乡村，大部分房屋前都停着摩托车，博主去往别的地方时坐的也是摩托车，可知Toba最常见的交通方式就是摩托车,模型首先要确定博主身处的位置就是Toba，再根据博主的出行方式和门口前停放的交通工具可知Toba最常见的交通方式就是摩托车,,,,,,,,,,
15,https://www.youtube.com/watch?v=I6ydiTzMkhw,37:38,测评 - 食品,1,What is Mark's relationship to Stanley during the tour?,"多线索推理,人物属性建模",Collaborative partner.,,"视频中多次出现 ""me and Markin"" 共同品尝和评价食物（""we're just so over the top with lechon""）。互动频繁且共同决策（如选择辣椒蘸料），推断为合作关系而非普通朋友。",,,,,,,,,,
,,,,2,What's make the lechon outstanding?,通用知识推理,"Organic ingredients, no MSG.","lechon店主明确强调 ""no MSG"" 且使用本地香草和有机香料（""organic... local spices""）,使其脱颖而出",视频中店主强调他使用本地香草和有机香料，不使用味精，所以这就是他制作的秘诀。,,,,,,,,,,
,,,,3,What is Stanley's occupation?,人物属性建模,Food critic.,,"提到 Stanley 的页面名为 ""Stanley on media""，且视频中称他为烤乳猪专家（""he really knows his lechon""）,通过 ""reviews all sorts of lechon"" 推断其职业为美食评论家",,,,,,,,,,
