视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,4,What is the most important thing entering the trade business?,"多跳推理,通用知识推理","Don't skip education, keeping studying.",视频中作者让Nour给其他想做贸易的人给予经验，其中提到了最重要的就是在互联网时代人们急着挣钱而忽视了做重要的教育学习部分，因此推断出不管做什么学习都是最重要的。,视频里Nour给的最大的建议就是不要跳过教学习而想直接去挣到钱。,,,,,,,,,,
,,,,5,What is Nour's biggest piece of advice?,"多线索推理,多模态/多语言推理",Execution,,Nour在对想要成功的人的建议里提到了很多条，但是综合起来都是需要具有执行力，想做一件事必须要行动起来。,,,,,,,,,,
10,https://www.youtube.com/watch?v=LaHXAamLglA,25:40,vlog - 工作,1,What drink does Shaun always drink early in the morning?,"多线索推理,人物属性建模",Rockstar Energy Drink.,,模型可以抓取到多次Shaun打开这个饮料，时间都是在正式工作开始之前。,,,,,,,,,,
,,,,2,What is Shaun's routine after work?,"多线索推理,人物属性建模",Workout at the gym.,,模型可以抓取到Shaun在下班后在车里提到要去健身房。,,,,,,,,,,
,,,,3,What are the two qualities should the doctor's notes have?,通用知识推理,Updated and accurate.,Shaun提到他因为时间匆忙在写病历的时候犯的错误，其中是保留了之前的内容，因此可得知病历只需要最新的内容；其次他提到病历是后续其他医生治疗病人的依据，因此必须保证期准确性，由此得出病例必须具备的两个特性。,模型可以从shaun讲述他在写病历时犯得错误里分析出这两个要点。,,,,,,,,,,
,,,,4,On which day of the week did Shaun have most surgeries?,多线索推理,Tuesday.,,模型可以抓取每天Shaun的工作安排，通过对比得出结论。,,,,,,,,,,
,,,,5,How do resident physicians in the Southern Hill Hospital&Medical Center enter their office?,"多跳推理,通用知识推理",Swipe the access card.,博主介绍自己是一名resident doctor，每当他去工作时，镜头总会出现一家叫the Southern Hill Hospital&Medical Center的医院，可知博主就是这家医院的医生，每当他进入办公室时，都要刷卡进入，得出答案,博主介绍自己是一名resident doctor，每当他去工作时，镜头总会出现一家叫the Southern Hill Hospital&Medical Center的医院，可知博主就是这家医院的医生，每当他进入办公室时，都要刷卡进入，模型需掌握以上信息，整合多次博主进入办公室的画面，得出答案,,,,,,,,,,
11,https://www.youtube.com/watch?v=pgk-719mTxM,38:34,教学 - 课堂互动,1,In which country is the Leadership Public School located?,"多模态/多语言推理,通用知识推理",America,字幕和老师都有介绍这是在Richmond的一所学校，但在很多国家都有叫Richmond的城市，但老师在介绍自己工作、求学经历的时候提到的基本都是美国地名，并且屋子里的人操着一口标准美音，墙后还挂着美国总统画像，推测出是在美国。,字幕和老师都有介绍这是在Richmond的一所学校，但在很多国家都有叫Richmond的城市，但可根据老师的介绍、学生的口音、教室的布置推测出是在美国。,,,,,,,,,,
,,,,2,Is uniform compulsory in Leadership Public School in Richmond?,"多模态/多语言推理,通用知识推理",No,只能说明这个课堂是有专门的衣服，但不强制要求学生穿。,"需要仔细观察教室里所有学生的着装，部分学生穿着一样的衣服，但有的穿着自己的衣服,可见穿校服并不是强制性要求。",,,,,,,,,,
,,,,3,How many students in the classroom are wearing blue tops?,多线索推理,One,,仔细观察教室里所有学生的着装，不要忽略远处被遮挡的学生，注意只是上衣，只有一个人穿着蓝色的衣服。,,,,,,,,,,
,,,,4,Is the teacher Mr. Hester in positive?,人物属性建模,Yes,,这位老师擅长用小游戏调动学生积极性，肢体语言积极，活力满满，是个非常积极向上的人。,,,,,,,,,,
,,,,5,How many people are sitting behind Maria?,多线索推理,Two,,需要在老师介绍学生名字的时候确定谁是玛丽亚，然后捕捉玛丽亚身后有几个人，一共两个。,,,,,,,,,,
,,,,6,Does Mr. Hester have a beard or a moustache?,人物属性建模,Bread,,定位能看清老师全脸的片段，他的胡子是覆盖下巴和脸颊的络腮胡，不是八字胡。,,,,,,,,,,
,,,,7,Did Mr. Hester put all the papers he took from Maria on the floor or on the table?,多跳推理,On the floor,,定位到学生们进行递纸游戏的片段，当所有纸张汇集到玛丽亚这里，这位老师拿过这些纸张后直接放到了地板上。,,,,,,,,,,
,,,,8,Does the binder have red or blue patches on the sides?,多模态/多语言推理,Red,,定位到老师介绍活页夹的片段，这个活页夹整体是白色的，侧边有红色的色块。,,,,,,,,,,
12,https://www.youtube.com/watch?v=prdfejAsrNI&list=PL0LQM0SAx602QkOMqFv7bu4mHZveMPcsp,25:56,探索 - 参观,1,Was there amber in the Baltic Sea during the Fatimid period?,通用知识推理,No,视频中提到，波罗的海的琥珀来自埃及北方，由此可知，波罗的海本地在当时并没有湖泊，只能进口。,模型需定位到解说法蒂玛王朝时期的片段，解说中提到，埃及一直是交通枢纽，从省级城镇的进口商品中都可以看出，比如，波罗的海的琥珀来自埃及北方可知，波罗的海本地在当时并没有，只能进口。,,,,,,,,,,
,,,,2,Had the research on the long-term preservation of paper begun during the Tubo period？,"多模态/多语言推理,通用知识推理",Yes.,视频中提到从藏经洞中发现了许多经文纸张，从视频拍摄的图片可以看出上面的文字还是清晰可见，由此可知，吐蕃时期已经有了对纸张长时期保存的技术的研究和应用。,模型需定位到解说藏经洞的经文的片段，通过观察可以看到经文保存十分完好，结合当时的历史时期可以得知，当时已经有了对纸张保存技术的应用。,,,,,,,,,,
,,,,3,Is Ping shocking and admiring or indifferent  towards the 2.5-meter-high silk embroidery?,人物属性建模,Shocking and admiring.,,模型需定位到介绍2.5米丝绸刺绣的片段，ping的解说中提到，这是当时藏经洞中最壮丽的展品之一，由此可见ping对这件展品十分的震撼与欣赏。,,,,,,,,,,
,,,,4,Does Sue like or dislike the processional cross on display?,"人物属性建模,多模态/多语言推理",She like it,,模型需定位给到sue解说游行十字架的片段，视频中她提到这是一件华丽的展品，是当地繁荣艺术交流的证明，制作材料光泽优美，并且拍摄到她在玻璃前欣赏的画面，通过观察她的神态可以看出很认真，由此可以看出她喜欢这件展品。,,,,,,,,,,
,,,,5,What are the two colors of the water bottles carried by the Bactrian camels on display?,多模态/多语言推理,Green and orange,,模型需定位到介绍中国工匠制成的陶瓷双峰骆驼展品的片段，解说中提到它还携带了中亚风格的水壶，通过拍摄的画面可以看到是绿色和橙色混杂的。,,,,,,,,,,
13,https://www.youtube.com/watch?v=5YnZWiUHBnY,35:36,vlog - 宠物,1,Can Lisa imitate the sound of a cat?,人物属性建模,Yes.,,模型需要定位到Lisa和猫咪互动的视频片段，可以看到她会发出的一些声音与猫咪很像，并且猫咪和Lisa进行互动等等，由此可以推出她是可以模仿猫咪的声音。,,,,,,,,,,
,,,,2,"In Sydney, is Lisa well-known as a pet sitter or not?",人物属性建模,Well-known.,,模型通过分析她对她自己介绍，比如她现在有大约300条评论，她在排名方面占据这个地区的主导地位，可以知道她在宠物寄养照顾方面是出名的。,,,,,,,,,,
,,,,3,What kind of bugs are commonly attracted to cat food?,通用知识推理,Ant.,博主介绍很多人都在面临蚂蚁爬进猫粮的问题，并且给出相应的解决方案，就是把猫粮碗放在一盘水上，可以避免蚂蚁爬进食物的情况，由此可以推出猫粮容易吸引蚂蚁。,模型需要定位到博主分享大家面临的问题-蚂蚁爬进猫粮，并且给出解决方案，可以推出猫粮容易吸引蚂蚁。,,,,,,,,,,
,,,,4,Is being a pet sitter a busy job or a relaxing one during holidays in Sydney?,"多模态/多语言推理,通用知识推理",Busy one.,通过博主的描述以及视频的展示（她列出的每日工作安排），可以看到在节假日是十分忙碌的，甚至没有时间吃早饭。,模型需要分析整个视频片段，分析Lisa的今日工作内容以及未来几天的工作安排，可以推出这份工作在节假日是很忙碌的。,,,,,,,,,,
,,,,5,What color is Willow?,多模态/多语言推理,Brown.,,模型需要找到Willow这个关键词，可以得到Willow是她的宠物狗，通过视觉分析，可以得出Willow是棕色的。,,,,,,,,,,
14,https://www.youtube.com/watch?v=tIwlsS71NKA&list=LL&index=80,20:01,纪录片 - 自然,1,Who are the famillies of George? ,"多线索推理,人物属性建模","His wife Tera, daughter Liv, and son Bodhi.",,模型需要浏览整个视频，Tera和Bodhi很早出现在视频中，但并没有表明他俩的名字与身份，模型需要对几人在多个片段中持续追踪，才能将Tera和Bodhi在家庭中的信息对应上,,,,,,,,,,
,,,,2,"If you come to the Maasai tribe in Africa, what ritual will the  Maasai tribe use to welcome you? ","多线索推理,通用知识推理",A dance and beautiful songs.,在George一家人第一次进入Maasai tribe和外出观看非洲象回程，Maasai tribe的人都用舞蹈和歌声欢迎他们，由此推断，当有人来参观Maasai tribe时，Maasai tribe的人都会用舞蹈和美妙歌声进行欢迎。,模型需要定位到George一家人第一次进入Maasai tribe和外出观看非洲象回程的不同片段，通过两次进入部落Maasai tribe的人都会用舞蹈和歌声进行欢迎推断，Maasai tribe欢迎仪式为舞蹈和歌。,,,,,,,,,,
,,,,3,What is the relationship between Liv and George? ,人物属性建模,Father and daughter.,,模型需要对Liv and George进行持续追踪，通过一路上George对liv的照顾以及liv的称呼，模型可推断两人为父女关系。,,,,,,,,,,
,,,,4,"If your sleep quality is poor, what equipment should you prepare most at night to ensure good sleep in Amboseli national park? ",通用知识推理,Ear plugs.,Tera在入住 Amboseli national park时看到手册上写到，Amboseli national park晚上会有狼的嚎叫、狮子的吼叫以及大象的叫声，由此推断Amboseli national park晚上是一个不太安静的地方，睡眠差的人最需要带的装备是耳塞。,模型需要定位到Tera在入住 Amboseli national park片段，通过Tera描述公园环，模型可推测环境嘈杂有很多动物叫声，睡眠质量不好的人来到 Amboseli national park，最应该戴耳塞。,,,,,,,,,,
,,,,5,How do primitive tribes like the Maasai tribe obtain fire? ,多模态/多语言推理,By ancient fire-making methods using friction.,,模型需定位到George一家参观Maasai tribe片段，George说Maasai tribe有自己古老的取火方式，这时镜头排到Maasai tribe几人围在一起钻木头取火，由此结合运用多模态模型可判断Maasai tribe靠钻木产生的摩擦取火。,,,,,,,,,,
15,https://www.youtube.com/watch?v=Ee9Ltzh--FM,23:31,vlog - 出行,1,What hairstyle is Birta used to making when her hair is oily?,人物属性建模,She puts her hair in a bun.,,模型需要定位开头Birta说自己今天要盘发，因为自己的头发状态不好，可能是因为纽约太热或太潮湿了，根据画面可以看到Birta头发不蓬松，可能是油了，由此推测Birta在头油的时候会选择把头发盘起来。,,,,,,,,,,
,,,,2,Is Maman a good breakfast place to go? ,"多模态/多语言推理,通用知识推理",No.,视频中有Birta在Maman吃早餐的画面，根据Birta后来的评价可知Maman的产品做的不好看，虽然味道还可以但是不值那个价，由此可推测Maman不推荐去。,模型需要根据视觉看到他们去的早餐店叫Maman，再根据Birta的评价可知这家店的东西不值那个价，所以是不推荐去的。,,,,,,,,,,
,,,,3,Does Birta bargain? ,人物属性建模,Yes.,,模型需要定位他们去布鲁克林跳蚤市场的片段，根据片段中Birta向我们展示她买的鞋子可知这双鞋原价50块，她40块就买到了，由此可知Birta会砍价。,,,,,,,,,,
,,,,4,Does Arabica allow pets? ,通用知识推理,"Yes, they're allowed.",视频中Arabica店内可以看到有宠物狗，因此可知宠物允许进入Arabica。,模型需要定位他们在Arabica的片段，根据片段中画面出现的宠物狗可知宠物允许进入Arabica。,,,,,,,,,,
,,,,5,What mode of transportation did Birta use to get to Williamsburg? ,多跳推理,Bicycle.,,模型需要首先定位他们在威廉斯堡的片段，再根据该片段前面的片段画面进行分析，可以看到他们去威廉斯堡时骑了自行车。,,,,,,,,,,
16,https://www.youtube.com/watch?v=Xg_2eummERY,23:47,vlog - 运动,1,What is Garmin?,通用知识推理,A sports watch.,视频中Kris向我们介绍了Garmin，根据Kris的介绍，Garmin可以选择很多运动模式，可以检测运动的时间、心律等等，由此可知Garmin是一款运动手表。,模型需要定位Kris介绍Garmin的片段，根据kris的介绍以及画面内容可知Garmin是运动手表。,,,,,,,,,,
,,,,2,Is Kris single? ,人物属性建模,No.,,模型需要定位视频开头，Kris说自己刚刚度假回来，这次度假因为她男朋友/老公（原文：my man）工作表现好，公司的奖励，由此可知Kris不是单身。,,,,,,,,,,
,,,,3,How many times did Kris go to the gym in the video? ,多线索推理,4 times.,,模型需要定位多个片段，识别判断中Kris去健身房的画面，最后统计共出现了几次健身房画面，我们可以看到一共去了四次。,,,,,,,,,,
,,,,4,Will the San Francisco Marathon route include ups and downs? ,通用知识推理,Yes.,视频中kris有天跑步时有好几处上坡下坡，Kris说正好为比赛做准备，由此可推测The San Francisco Marathon比赛的路线中也会有上下坡。,模型需要定位Kris星期二跑步的片段，片段中Kris在跑步时遇到几处上下坡，说正好为比赛做准备，因此The San Francisco Marathon比赛的路线中也会有上下坡。,,,,,,,,,,
,,,,5,What magnification is Kris used to using when taking photos? ,人物属性建模,0.5x.,,"模型需要定位Kris说自己手机的0.5倍照相功能坏了，她很崩溃用不了0,5倍照相，由此可知Kris平时是很喜欢用0,5倍镜头拍照的。",,,,,,,,,,
17,https://www.youtube.com/watch?v=nTXgu7pncN0,23:45,vlog - 居家,1,Is Beth single? ,人物属性建模,No.,,模型需要根据整个视频，画面中多次出现男人的身影，并且Beth 说自己和卡尔之后会经常出去旅行，可推测卡尔是Beth 的男朋友，因此Beth 不是单身。,,,,,,,,,,
,,,,2,Does Carl work at home? ,人物属性建模,Yes.,,模型需要根据Beth 的话，卡尔在家里有一个办公室，Beth 说卡尔的衣服在他的办公室，因为他经常在那里，由此可知卡尔会在家办公。,,,,,,,,,,
