视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
3,https://www.youtube.com/watch?v=PRqJGP1iFR8,28:01,测评 - 展会,1,What is the longest continuously held sporting event in the United States? ,通用知识推理,Kentucky Derby,美国连续举办时间最长的体育赛事是肯塔基德比,威斯敏斯特养犬俱乐部犬展始于 1877 年，是连续举办时间第二长的体育赛事（仅次于 1875 年开始的肯塔基德比）据此推断美国连续举办时间最长的体育赛事是肯塔基德比,,,,,,,,,,
,,,,2,How is Crystal Heart's interviewing level?,人物属性建模,Crystal Heart's interviewing level is excellent.,,Crystal Heart 的采访问题设置合理、交流互动良好、对现场的把控、信息整理与传达，展现出了一定的专业水平和能力,,,,,,,,,,
,,,,3,Is the Westminster Kennel Club Dog Show only aimed at hounds?,通用知识推理,No.,威斯敏斯特养犬俱乐部犬展犬种丰富多样，包括猎犬、运动犬等,根据视频中知道威斯敏斯特养犬俱乐部犬展有不同的犬种组别，包括猎犬，运动犬等,,,,,,,,,,
,,,,4,What is Ted Vito's knowledge about dogs like?,人物属性建模,Ted Vito has relatively rich knowledge related to dogs.,,Ted Vito熟知捕鼠梗的特性，对犬种分类及特征的认识：他了解捕鼠梗有 21 种不同的被毛类型，所以推断其犬只相关知识较为丰富,,,,,,,,,,
,,,,5,"After interviewing the Shetland Sheepdog, what kind of dog did Crystal Heart interview?",多跳推理,The Dutch Duck Tolling Retriever.,,模型需要定位到采访格里芬旺代犬的画面，在分析之后得出 Crystal Heart之后采访了荷兰猎鸭犬。,,,,,,,,,,
4,https://www.youtube.com/watch?v=mN-MPuhFivc,22:40,探索 - 体验新事物,1,What kind of carrying posture do the porters on Mount Kilimanjaro use to carry goods? ,通用知识推理,In ways such as carrying on the shoulders or on the top of the head ,乞力马扎罗山的搬运工在搬运重物时要注意保持平衡，采用肩扛或头顶等方式,根据乞力马扎罗山的搬运工在搬运重物画面总结其搬运姿势,,,,,,,,,,
,,,,2,How strong is Eva physically?,人物属性建模,Eva is of average physical strength.,,从视频所呈现的 Eva 在乞力马扎罗山的经历来看，Eva 虽然不常去健身房，但她勇于接受在高海拔地区担任搬运工的挑战，这表明她有一定的身体素质。在体验过程中，她能够承担起搬运一定重量物品的任务，所以推断Eva 的身体强壮程度一般。,,,,,,,,,,
,,,,3,How intense is the workload that the porters on Mount Kilimanjaro are responsible for carrying? ,通用知识推理,The working intensity of the porters on Mount Kilimanjaro is extremely high.,乞力马扎罗山的搬运工工作强度非常大，体现在以下方面：负重搬运，搬运距离，高海拔作业等方面,从视频内容看乞力马扎罗山的搬运工要负重搬运，登山者和工作团队登山期间的所有物品。同时乞力马扎罗山的登山路线行程较长，搬运工需要沿着这些路线将物资运送到各个营地。并且高海拔作业：乞力马扎罗山海拔较高，空气稀薄，氧气含量低。所以总结得出乞力马扎罗山的搬运工工作强度非常大,,,,,,,,,,
,,,,4,How about Rose's working ability?,人物属性建模,Rose has an excellent working ability.,,Rose 能够熟练地搬运重物，在指导如何正确搬运物品，在登山过程中，Rose 和其他搬运工的速度明显比 Eva 快很多，并且迅速地完成了营地的搭建工作显示出她在工作中动作迅速、高效。所以综合推断Rose 作为乞力马扎罗山的女性搬运工，工作能力十分出色,,,,,,,,,,
,,,,5,How many days did Eva experience working as a porter? ,多线索推理,Three.,,根据视频内容，Eva 体验搬运工的工作一共持续了三天。,,,,,,,,,,
5,https://www.youtube.com/watch?v=0-KG8wfAlcY,21:54,测评 - 食品,1,How is Jack's English？,人物属性建模,Jack can only speak simple English sentences.,,在视频中提到Jack更习惯说粤语，但在交流美食的过程中会说一些多汁等表达事物美味的简单句子，中途还是需要借助Edward翻译,,,,,,,,,,
,,,,2,"Why are walnut wood, some fruit tree wood and oak wood used in the process of smoking meat?",通用知识推理,Because they can release fragrance.,山核桃木、一些果树木及橡木燃烧熏制过程中会释放出独特的香气,视频中提到熏肉需使用山核桃木、一些果树木及橡木，这些木材在燃烧熏制过程中会释放出独特的香气，赋予肉类果香和淡淡的甜味提升肉类的鲜美度,,,,,,,,,,
,,,,3,How many kinds of food did Jack eat altogether?,多线索推理,Eight.,,Jack通过Darion介绍的全过程中共吃了牛腩、猪排骨、鸡肉、香肠、通心粉奶酪、烟熏烤豆、土豆沙拉、凉拌卷心菜8种美食,,,,,,,,,,
,,,,4,What are the differences between the cooking methods of Texas barbecue and Chinese barbecue？,通用知识推理,Texas Grill is slow-roasted at low temperatures.,德州烧烤采用低温慢烤的方式，使肉类在较长时间内均匀受热，避免局部过热导致肉质变老,视频中Darion将牛肉放进烟熏炉中，烟熏炉能精准把控温度，而德州烧烤注重肉质鲜嫩，需采取低温慢烤的方式，避免局部过热导致肉质变老,,,,,,,,,,
,,,,5,Is Darion a person who is willing to share or a selfish one?,人物属性建模,Darion is a person who is willing to share.,,Darion带领Jack参观厨房，向他展示烧烤的制作流程和特色，希望Jack能深入了解德州烧烤，从中可以表明Darion是乐于分享的人,,,,,,,,,,
6,https://www.youtube.com/watch?v=YBPLrr9Hph0,24:30,教学 - 技能,1,What was the relationship between Klaus and Frida Lotz-Keegan?,人物属性建模,Frida Lotz-Keegan is the daughter of Klaus.,,视频中女作者的名字打在了左下角处，女作者介绍Klaus说的是我的爸爸由此得知他们是父女关系,,,,,,,,,,
,,,,2,What is the main difference between syntropic agroforestry and traditional agriculture?,通用知识推理,Emphasize the diversity of plants.,熵农林业强调植物的高密度和高多样性，追求多种作物综合起来的更高产量,视频提到之前的土地荒废按传统技术只会种植杨树柏树这些防风树木，但Klaus引进熵农技术追求多种作物综合起来的更高产量，从而得知与传统农业最大的区别就是强调植物的多样性,,,,,,,,,,
,,,,3,How many planting methods did Frida introduce in total?,多线索推理,Two.,,Frida在视频里分别讲合熵农林业和永续农业两种种植方法,,,,,,,,,,
,,,,4,What is Klaus' level of professional competence in agriculture?,人物属性建模,Klaus has a very high level of expertise in agriculture.,,视频中Klaus透露通过参与家族企业积累了丰富的实践经验这表明他具备扎实的专业知识和熟练的实践技能由此得知他的农业专业水平还是很强的,,,,,,,,,,
,,,,5,How does syntropic agroforestry improve soil quality?,通用知识推理,Frequent pruning.,频繁修剪、产生大量有机物质的支持物种，它们能为土壤提供覆盖物，防止土壤干燥，滋养土壤微生物,视频中表示掉落的树叶能给地面提供养分，促使它们释放生长激素，修剪不仅能让植物茁壮成长还能给土地提供养分，由此得知频繁修剪能提高土壤肥力,,,,,,,,,,
7,https://www.youtube.com/watch?v=9Tc33xCppQo,20:00,vlog - 工作,1,How is Brianna's cake making level?,人物属性建模,She is skilled at making cakes.,,Brianna在制作糕点时表现得很熟练、得心应手。,,,,,,,,,,
,,,,2,"When making corn cob scones, how to make the scones fluffy? ",通用知识推理,Keep scones moist with cold butter for fluffiness,制作司康时，超冷的黄油和奶油是关键，黄油能使司康保持湿润，在烘焙过程中产生蒸汽让司康变得蓬松,根据brianna在制作玉米棒司康的操作和讲解，总结出让司康蓬松的技巧是利用冷黄油保湿,,,,,,,,,,
,,,,3,"How does ""The Good Batch"" bakery work?",通用知识推理,Combining offline and online sales.,"""The Good Batch""面包店的经营方式。","""The Good Batch""是一家社区面包店，同时向纽约各地批发售卖。",,,,,,,,,,
,,,,4,How is Anna's management ability?,人物属性建模,She is a master of resource integration.,,安娜将废弃的汉堡肉饼机创新性地改造成烘焙设备，合理利用资源的能力很强。,,,,,,,,,,
,,,,5,"What did Brianna do after she finished ""LEMON SQUARE""?",多跳推理,Ice cream sandwich.,,"定位到Brianna做完""LEMON SQUARE""的片段可知。",,,,,,,,,,
8,https://www.youtube.com/watch?v=4EfonPSf3b4,22:18,vlog - 特殊事件,1,What is Alice's occupation?,人物属性建模,She is a cook.,,根据Alice为Blondie做了法国经典菜，结合Blondie说这是和大厨一起旅游的好处可知。,,,,,,,,,,
,,,,2,"Can ""CHARBONNEL"" restaurant only be ordered on site, or can reservations be made in advance?",通用知识推理,The restaurant supports advance booking.,"""CHARBONNEL"" 餐厅支持提前预定。",Alice为Blondie预定了这家餐馆的午饭。,,,,,,,,,,
,,,,3,Under what environmental temperature conditions does the black truffle have a better flavor? ,通用知识推理,Low temperature environment.,黑松露适合在低温环境生长，在此温度环境下黑松露最可口。,"根据""CHARBONNEL"" 餐厅服务员说黑松露在11月至3月期间最芳香可口，也就是天气变冷的时候可推断。",,,,,,,,,,
,,,,4,How many restaurants did Alice go to for Blondie?,多线索推理,The two restaurants.,,定位到Alice和Blondie吃饭的片段可知。,,,,,,,,,,
,,,,5,What fruits does Blondie like?,人物属性建模,Lemon.,,根据Alice在制作橙酒可丽饼是因为考虑到Blondie喜欢柠檬，便将制作这道菜的原料橙子换成了柠檬可知。,,,,,,,,,,
9,https://www.youtube.com/watch?v=ZJ_o20FCecw,21:24,测评 - 食品,1,What is the bloggers Joseph and Gabby's favorite breakfast in Mexico? ,人物属性建模,It's the burrito.,,视频中Joseph表示他们两个人都喜欢在墨西哥点早餐卷饼，里面有土豆、鸡蛋、奶酪，然后人们可以选择肉类。Gabby和Joseoh每次都选烤牛肉。由此可知。,,,,,,,,,,
,,,,2,What's the relationship between Anna and Gabby?,人物属性建模, They are sisters.,,视频中表示感谢Gabby的姐姐Anna几年前带我们发现了这个没事地方。由此可推出。,,,,,,,,,,
,,,,3,What ingredients are Chilaquiles generally made of? ,通用知识推理,"Tortilla chips, eggs, beans and cheese.",Chilaquiles基本上就像是一道用玉米片和鸡蛋做的早餐菜肴，但里面还配有豆子、奶酪。,视频中Gabby向我们展示墨西哥菜肴Chilaquiles，并讲解它基本上就像是一道用玉米片和鸡蛋做的早餐菜肴，但里面还配有豆子、奶酪。由此可推断。,,,,,,,,,,
,,,,4,How many restaurants did the bloggers Joseph and Gabby review in total?,多线索推理, Four restaurants.,,模型需要识别博主一共去过哪些餐厅，Oscar's Very Mexican Food、El Ron、La Costa Cafe、Masamasa这四家餐厅。,,,,,,,,,,
,,,,5,What is the thematic concept of Masamasa Restaurant? ,通用知识推理,It is to spread kindness through food.,Masamasa Restaurant一家由女性经营的墨西哥卷饼吧，其使命是通过食物传递善意。在这里每买一个卷饼，都会为不同的组织或非营利机构提供支持。,视频中Gabby表述 Masamasa Restaurant一家由女性经营的墨西哥卷饼吧，其使命是通过食物传递善意。在这里每买一个卷饼，都会为不同的组织或非营利机构提供支持。由此可推断。,,,,,,,,,,
10,https://www.youtube.com/watch?v=4owYuFYB49g,24:25,测评 - 食品,1,What are the mushroom ingredients of the Pizza fungi a tartufo at the Arancino restaurant?,"多线索推理,通用知识推理","Eringi, shimeji and maitake.",博主讲述在阿拉西诺（Arancino）餐厅Pizza fungi a tartufo的蘑菇配料有三种蘑菇杏鲍菇、蟹味菇、舞茸和四种奶酪作为配料。,博主讲述在阿拉西诺（Arancino）餐厅Pizza fungi a tartufo的蘑菇配料有三种蘑菇杏鲍菇、蟹味菇、舞茸和四种奶酪作为配料，由此可推断。,,,,,,,,,,
,,,,2,Are all the ingredients of the Kahala hotel sourced locally?,通用知识推理,No.,卡哈拉酒店（Kahala hotel），以意大利美食闻名，食材既有从意大利进口的，也有当地新鲜食材。下,博主介绍他们最喜欢的约会地点，位于卡哈拉酒店（Kahala hotel），以意大利博览会闻名，他们的食材既有从意大利进口的，也有当地新鲜食材。由此可知。,,,,,,,,,,
,,,,3,What kind of pasta does the YouTube blogger Amanda like? ,人物属性建模,It's Italian pasta.,,在品尝罗马经典奶酪胡椒面、海胆意面时， Amanda表示她时意大利面的爱好者，由此可推出。,,,,,,,,,,
,,,,4,What kind of seasoning does  the YouTube blogger Felix Eats like when having steak? ,人物属性建模,It's flaky salt.,,在品尝佛罗伦萨式带骨肉眼牛排时， Felix Eats表示他个人还是会坚持使用片状盐，因为他很喜欢它。由此可推断,,,,,,,,,,
,,,,5,How many servings of Italian pasta did the blogger have as the main course in the video?,多线索推理,Three servings.,,模型基于视频计数有罗马经典奶酪胡椒面（Cacio e Pepe）、海胆意面（Spaghetti I Ricchi Di Mare）和肉酱宽面（Papa Deli Bolognese）共3道意大利面主菜。,,,,,,,,,,
11,https://www.youtube.com/watch?v=MaStjHoN8RE,20:16,vlog - 特殊事件,1,During Coachella，when does it start each week?,通用知识推理,Friday,科切拉音乐节期间从每周的周五开始,Tara说“今天是周四，对于不知道的人来说是科切拉音乐节的前一天，由于工作义务，在周五正式开始前我需要提前一天来因为要参加活动“可推断出,,,,,,,,,,
,,,,2,What is the relationship between Tara and Peter?,人物属性建模,Tara is a fan of Peter,,定位到有人提到Peter的片段，Tara突然大喊表现得很兴奋，还提出自己想和Peter合照，可推断出,,,,,,,,,,
,,,,3,What disease does Sophia have?,"人物属性建模,多模态/多语言推理",Metaphobia,,定位到第二天早上Tara讲诉前一天状况的片段，Tara对着Sophia离去的方向给她道歉，然后对着镜头说她有恐幻症，可推断出,,,,,,,,,,
,,,,4,Is Revolve Festival held outdoors or indoors?,"多模态/多语言推理,通用知识推理",Outdoors,Revolve Festiva是露天举行的,定位到Tara参加Revolve Festiva的片段，利用视觉可得到答案,,,,,,,,,,
,,,,5,Who did Tara meet before she ate the tar?,多跳推理,Jared,,定位到Tara吃焦油的片段，结合之前的片段可知Tara遇到了Jared,,,,,,,,,,
12,https://www.youtube.com/watch?v=rX184PQ1UMI,29:30,教学 - 烹饪,1,What flavor does Jack like?,"多线索推理,人物属性建模,多模态/多语言推理",Spicy,,视听结合确认Jack身份，博主说“放一些辣椒片，这取决于你喜欢它们有多辣”，Jack说“我喜欢辣的”，之后博主说“不要放太多，不然女孩们会抱怨，你怎么会喜欢吃辣的呢”，Jack说“我不知道，我真的很喜欢吃辣的食物”，可推断出,,,,,,,,,,
,,,,2,"When teaching children how to cook, what does the blogger pay attention to?","多线索推理,人物属性建模",Encourage children to get hands-on,,结合博主教孩子做饭的片段，博主让Jack腌鸡翅、切蒜、颠锅、撒葱花，让Tilly撒胡椒、倒油、放鸡腿、切蘑菇、摘迷迭香叶子，博主尽可能多地使孩子自己动手并时不时夸赞他们做的好，可推断出,,,,,,,,,,
,,,,3,How to make caramel pudding demould better?,通用知识推理,Immerse the mold in hot water before demoulding,焦糖布丁脱模前将模具浸在热水中更好脱模,定位到博主做焦糖布丁的片段，他提到“当你准备上菜时将小模子浸入热水中以松开焦糖布丁”，可推断出,,,,,,,,,,
,,,,4,What did the blogger do after making the bread crumbs?,多跳推理,Cut the lettuce,,定位到博主做面包丁的片段，跟踪行为得到答案,,,,,,,,,,
,,,,5,What does sumac smell like?,通用知识推理,Citrus flavor,漆树调料是柑橘味的,定位到博主尝漆树的片段，他说“那是漆树，好的，它非常柑橘味”，可推断出,,,,,,,,,,
13,https://www.youtube.com/watch?v=AdAQABXgar4,29:39,访谈 - 静态（对话密集型，少量视觉信息）,1,Is Dua an introverted person?,"多线索推理,人物属性建模",No.,,通过观看视频，视频中Dua热情分享个人生活和兴趣、善于和他人互动交流等行为，由此可知Dua不是一个内向的人。,,,,,,,,,,
,,,,2,What kind of program is the Dish Podcast?,通用知识推理,Gossip chat show.,"“Dish Podcast"" 并非传统意义上的访谈节目，而是一档以娱乐八卦和流行文化为主题的轻松谈话类播客。",通过观看视频，视频中深入探讨了 Dua Lipa 的个人生活细节、详细分享了自己的音乐事业经历等内容，由此可知这是一档八卦聊天节目。,,,,,,,,,,
,,,,3,What is Nick's hosting style like?,人物属性建模,Humorous and entertaining style.,,通过观看视频，视频中Nick开场与互动的幽默、对Dua生活的调侃等细节，可知Nick的主持风格是幽默风趣型。,,,,,,,,,,
,,,,4,What was the next food Dua tried after tasting the tahini dip?,多跳推理,Beef tagliata.,,通过观看视频，视频中Nick和dua在品尝完tahini dip后，下一道菜品是Beef tagliata。由此可知问题答案。,,,,,,,,,,
,,,,5,What is the overall atmosphere of the Dish Podcast?,通用知识推理,Relaxed and casual.,"""Dish Podcast""节目氛围是轻松随意，像朋友在厨房边吃边聊，完全没有正式采访的紧张感。",通过观看视频，如Dua一边吃着beef tagliata一边分享她在阿尔巴尼亚的家庭背景和食物记忆，节目的聊天的节奏很自然、温柔，与不像传统的“艺人专访”。由此可知，该节目的氛围是轻松随意的。,,,,,,,,,,
14,https://www.youtube.com/watch?v=9wxPUp2IIH8,21:05,测评 - 工具/机械,1,Is Barry an introverted person?,"多线索推理,人物属性建模",No.,,通过观看视频，从 Barry 在对话中的表现，包括积极引导讨论、活跃气氛、主动表达观点和组织活动等方面，由此可知，Barry不是一个内向的人。,,,,,,,,,,
,,,,2,Is the GastroMax Grater operated manually or does it run on electricity?,通用知识推理,Manual operation.,“GastroMax Grater” 是瑞典厨房用品品牌 GastroMax推出的刨丝器，为手动操作设备。,通过观看视频，视频中Ben和Mick在介绍了GastroMax Grater并展示了其操作方法，由此可知是一款不需要插电仅能操作的小工具。,,,,,,,,,,
,,,,3,What is the relationship between Ben and Mick?,人物属性建模,Harmonious.,,通过观看视频，从 Ben 和 Mike 之间轻松的交流氛围、积极的观点表达、合作的测试过程、互相调侃打趣以及对彼此意见的认可等方面，由此可知，二人的关系是融洽的。,,,,,,,,,,
,,,,4,What did Mick and Ben test next after trying out the GastroMax Grater?,多跳推理,Egg cracking.,,通过观看视频中，定位到ben和Mick在GastroMax Grater测试结束的片段，由此可知接下来他们测试的是Egg cracking。,,,,,,,,,,
,,,,5,What other functions does the Eto Wine Decanter have besides decanting?,通用知识推理,Aesthetic display function.,“Eto Wine Decanter” 的设计非常现代且独特，通常具备艺术感和视觉冲击力。其不只是一个工具，更是一个可以作为餐桌上的装饰品，提升整个用餐体验的艺术品。,通过观看视频，Barry说道该产品这是一款优雅醒酒器，以及Ben说道自己非常喜欢这款产品，既实用，又漂亮等细节，可知该产品除了醒酒器功能，还具有美观展示功能。,,,,,,,,,,
15,https://www.youtube.com/watch?v=wRdjOh07At8,23:25,vlog - 特殊事件,1,What's the relationship between Matthew and Headley? ,人物属性建模,They are father and son.,,视频中作者提到 Headley是他的儿子，再通过观察视频的交流，可以了解到作者的名字是Matthew。,,,,,,,,,,
,,,,2,What is Matthew's job? ,人物属性建模,He is a farmer.,,视频中Matthew提到自己辞掉了以前的工作，专心从事自己现在的事业，视频中可以观察到Matthew养牛、种植作物，并且自己制造一些农产品。,,,,,,,,,,
,,,,3,What is the main plant added to make the brewed beer fragrant?,通用知识推理,Hops.,在酿造啤酒时调节啤酒的香气与味道的主要原料,视频中作者向Ashley Huntington请教如何酿造啤酒，Ashley Huntington在过程中寻找调香料Hops，并且到这是进行调节基础原料。,,,,,,,,,,
,,,,4,"What did the author do,after Maggie got mastitis?",多跳推理,Contacted the veterinarian and took good care of her.,,作者在请教酿造啤酒时了解到Maggie患上乳腺癌的消息，他马上返回农场，一直关注Maggie的状况，仔细照料它，并且经常向兽医询问状况。,,,,,,,,,,
,,,,5,Where is the Georgian tower mill that is still in operation in the Southern Hemisphere?,通用知识推理, It's the Callington Mill in Oatlands.,关于现存的乔治亚式塔式磨坊,作者前往Callington Mil与Benjamin Paulson交流时，Benjamin Paulson提到他们这里有南半球唯一的乔治亚式塔式磨坊。,,,,,,,,,,
16,https://www.youtube.com/watch?v=vPpCe2jhTEc,21:46,vlog - 特殊事件,1,What's the relationship between Matt and Goldie?,人物属性建模,They are a couple.,,通过视频中Matt和Goldie的交流方式，以及他们的举止动作，可以观察得出。,,,,,,,,,,
,,,,2,Who had the idea of building an Earthship first between Matt and Goldie?,多线索推理,Matt.,,视频中Matt提到自己在2014年的时候就有了一个建造地球飞船的想法，并且Goldie提到Matt将这个想法告诉他的时候，他认为这是一个很酷很新奇的想法。,,,,,,,,,,
,,,,3,What is the winter temperature like in Denver?,通用知识推理,It's cold.,关于丹佛的气温,Matt提到自己在丹佛收集建筑材料，可以判断出她居住在这里，并且她提到这里的冬天很冷。,,,,,,,,,,
,,,,4,What is the most main source of water resources for Earthship homes?,通用知识推理,It is natural precipitation.,Earthship home十分重视自给自足和可持续性，建设有雨水收集系统,视频中Matt提到雨水和雪水对于他们 来说很重要，屋顶的建造需要按照一定的规格才能更好的收集降水，并且在温室中种植的植物也对收集雨水有很重要的作用。,,,,,,,,,,
,,,,5,What is Matt's attitude towards the spaceship of the Earth?,人物属性建模,She is passionate about it.,,Matt提到自己学习了很多年的地球飞船房屋的建造，并且在建造过程中亲身花费了五年的时间进行建造。,,,,,,,,,,
17,https://www.youtube.com/watch?v=ISpSkPL1eTM,23:37,综艺 - 表演/选秀,1,What is Tommy's speaking style like?,人物属性建模,Humorous.,,通过观察Tommy经常会开玩笑，并且喜欢使用搞怪的腔调说话。,,,,,,,,,,
,,,,2,How many sports-related categories of questions are there in total?,多线索推理,Five.,,视频中Shayne介绍了有Going For Gold、The Silver Screen、Making Headlines、Team Pride、The Jock Dictionary这几个类别。,,,,,,,,,,
,,,,3,What is set on the logo of the United States Women's National Soccer Team to commemorate their three championship wins?,通用知识推理, Three stars.,美国女足在1991年、1999年、2015年夺得女足世界杯冠军后进行了纪念在对队徽上进行了装饰,视频中Shayne对女足队徽上的三颗星进行询问，可以知道设置了三颗星是为了纪念美国女足的世界杯夺冠。,,,,,,,,,,
,,,,4,What does a triple-double mean in basketball?,通用知识推理,Double digits in 3 stats in a game.,篮球中’三双‘的含义,视频中Shayne提到过这个问题，根据Shayne的介绍可以推断出结论,,,,,,,,,,
,,,,5,What is the relationship between Trevor and Tommy?,"多线索推理,人物属性建模",They are very good friends.,,观察视频中Trevor和Tommy的交流过程，他们能够互相开玩笑打趣，并且交流友好。,,,,,,,,,,
18,https://www.youtube.com/watch?v=irp_HPzfxbQ,29:54,vlog - 园艺,1,What kind of crops are suitable for planting under the temperature conditions in Oslo?,通用知识推理,Crops that prefer a cool climate.,Oslo的纬度较高，气温偏低,视频中被拍摄者提到自己必须要建造一个温室才能进行种植，因为这里的气候太恶劣了。,,,,,,,,,,
,,,,2,What kind of plants does Margit-Kristine Solibakke Klev like to plant?,人物属性建模,Fruits.,,视频中可以了解到Margit-Kristine Solibakke Klev建造温室的一个原因是想要全年能够种植各种水果，并且在她的温室中种植了桃、杏、无花果、樱桃等各种水果，并且种植了很多年。,,,,,,,,,,
,,,,3,What is Margit-Kristine Solibakke Klev's job?,人物属性建模,An architect.,,Margit-Kristine Solibakke Klev提到自己在10年前通过参考别人的温室，结合风、光照等环境，设计搭建了自己的温室。,,,,,,,,,,
,,,,4,What is the approximate temperature difference between the inside and outside of the photographed person's greenhouse on a sunny day in February?,多线索推理, It's about 25 degrees.,,温室的主人介绍自己的温室在白天的时候，温室内的温度能达到20℃，而那是室外的温度大约在-5℃.,,,,,,,,,,
,,,,5,What is the main way for Norway to obtain sage? ,通用知识推理,Import trade.,挪威地区不适宜种植鼠尾草,在温室的主人与拍摄者交流时，拍摄者对于能够在温室中找到鼠尾草感到新奇，温室主人提到自己在温室里种植的大多都是在挪威本地无法生长的，通过自己种植就不需要从欧洲或者世界上其他国家进口。,,,,,,,,,,
19,https://www.youtube.com/watch?v=aGrc_kgAsJk,31:28,vlog - 运动,1,Where is the Barranco Wall located?,通用知识推理,Mount Kilimanjaro.,巴兰科墙的地理位置,根据Adam和Tanya在攀爬乞力马扎罗山的过程中遇到了巴兰科墙可以推出,,,,,,,,,,
,,,,2,What is the last camp before reaching the summit on the Lemosho route when climbing Mount Kilimanjaro? ,通用知识推理,Barafu Camp.,Lemosho 路线登顶前的最后一座营地,根据Adam和Tanya在Barafu Camp休整最后一夜后就开始登顶了可以推出,,,,,,,,,,
,,,,3,How much is the total walking time of Adam and Tanya during the process of climbing the mountain? ,多线索推理,Thirty-four point five hours.,,模型需要分析并统计Adam和Tanya在分开之前他们每天的步行时间并求和,,,,,,,,,,
,,,,4,What is the relationship between Adam and Tanya?,人物属性建模,They are lovers.,,根据他们两个住在一个帐篷以及爬山过程中亲密的动作可以看出,,,,,,,,,,
,,,,5,What is Tanya's speaking style like?,人物属性建模,It is cheerful and lively.,,根据Tanya一路上和工作人员以及Adam交谈时活泼开朗的语气可以看出,,,,,,,,,,
20,https://www.youtube.com/watch?v=b5XIljwl5hI,35:14,街头互动 - 社会观察,1,What was the housing price of houses in San Francisco like in the 1970s?.,通用知识推理, The housing prices were relatively low,20世纪70年代San Francisco房子的售价状况,作者在于本地人进行交流时，谈到70年代San Francisco的社会秩序很混乱，人们都不愿意住在这里，房子很轻松就能买下。,,,,,,,,,,
,,,,2,Is Johnny's mother strong or fragile？,"多线索推理,人物属性建模",She is strong.,,观察视频中Johnny提到自己的童年时，谈到自己的父母在自己小时候离婚，由母亲一个人带自己，母亲努力维持家里的生活，并且意志坚定。,,,,,,,,,,
,,,,3,"How long is the maximum continuous parking time for vehicles on public streets in Marin County, California?",通用知识推理,72 hours.,Marin County道路上停车的时间规定,作者与Dave交流中，Dave住在这个地方，住在自己的车上，之后每当车停在道路的时间到达72个小时，就会受到驱赶。,,,,,,,,,,
,,,,4,What kind of animal does Dave like?,"人物属性建模,多模态/多语言推理",Dog.,,视频中并且通过对话，可以了解到Dave的生活并不富裕，但是通过画面可以看到Dave在与作者交流时一直温柔地抚摸着他的宠物狗。,,,,,,,,,,
,,,,5,How many people's living conditions did the author inquire about?,多线索推理,Eight.,,通过视频观察有Johnny、Jeff、Markaya resident、Dave、Angelo，一位没有透露名字的人，以及两个人是Lovell&Paris Van dwellers。,,,,,,,,,,
