视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
3,https://www.youtube.com/watch?v=GSfP1mX7R-g,26:46,访谈 - 动态（含充分视觉信息）,1,What is the relationship between Alpred and Gail?,人物属性建模,Acquaintance.,,视频定位到盖尔介绍阿尔菲瑞德的片段，盖尔说很高兴他能来这里，以及他们在视频中的互动表现出他们相识。,,,,,,,,,,
,,,,2,Where is Alpred from?,"多线索推理,多模态/多语言推理",France.,,视频中盖尔在欢迎他的时候说了一句法语Bonjour可以看出她向她用法语打招呼。,,,,,,,,,,
,,,,3,What is the jazz mecca in America?,通用知识推理,Chicago.,视频定位到做饭前，他们在讨论爵士乐，阿尔菲瑞德说新奥尔良仍然是爵士乐的圣地，盖尔说仅次于芝加哥，由此推理出芝加哥是爵士乐的圣地。,视频定位到做饭前，讨论爵士乐的片段，阿尔菲瑞德说新奥尔良仍然是爵士乐的圣地，盖尔说仅次于芝加哥，说明芝加哥比新奥尔良更加成熟。 ,,,,,,,,,,
,,,,4,Is Alpred like jazz?,人物属性建模,Yes.,,视频中可以看出他对爵士乐有着深刻的见解，由此看出他很喜欢爵士乐。,,,,,,,,,,
,,,,5,What makes it easier to learn the rhythm of music?,通用知识推理,Percussion.,视频定位到谈论音乐学习的片段，阿尔菲瑞德说学生一般都是通过学习打击乐来掌握音乐的节奏，由此推理出学习打击乐更容易掌握音乐节奏。,视频定位到谈论音乐学习的片段，阿尔菲瑞德说学生一般都是通过学习打击乐来掌握音乐的节奏。美国学生一般是从钢琴学起。,,,,,,,,,,
4,https://www.youtube.com/watch?v=YktB7ha3sPY,31:47,vlog - 亲子,1,Is Hunter a brave girl?,人物属性建模,Yes.,,视频中Hunter最初对“雷克斯滑梯”感到恐惧，但最终克服并尝试了25次，可以得知她是一个勇敢的女孩。,,,,,,,,,,
,,,,2,What is Hunter's relationship to Jessie?,人物属性建模,They are sisters.,,视频中Hunter和Jessie共同参与活动，且被统称为“孩子们”，父母使用“we”时默认包含两人，故Hunter和Jessie是姐妹。,,,,,,,,,,
,,,,3,What do they do before going to the movie theater?,多跳推理,Use the laundry service.,,视频中展示去电影院观影之前的相关片段之前先展示了他们使用洗衣服务。,,,,,,,,,,
,,,,4,How does the laundry service on Disney Treasure enhance convenience?,通用知识推理,App-connected notifications.,洗衣房“连接到你的应用程序，当洗衣机/烘干机完成时会通知”。需推断出“通过应用程序发送提醒”是其便利性核心。,视频中提到洗衣房“连接到你的应用程序，当洗衣机/烘干机完成时会通知”。需推断出“通过应用程序发送提醒”是其便利性核心。,,,,,,,,,,
,,,,5,What exclusive feature defines Disney's pirate night dinner?,通用知识推理,Themed menu rotations paused.,海盗之夜“暂停了常规餐厅轮换，所有餐厅统一采用海盗主题”，需推理出“主题菜单轮换暂停”是独特安排。,视频中海盗之夜“暂停了常规餐厅轮换，所有餐厅统一采用海盗主题”，需推理出“主题菜单轮换暂停”是独特安排。,,,,,,,,,,
5,https://www.youtube.com/watch?v=iLwOrBOrZ-8,42:25,教学 - 工业制造,1,Is child labor common in the cocoa growing industory in San Pedro?,"多线索推理,通用知识推理",Yes.,视频中拍摄了圣佩德罗现状，有当地人称这里的童工非常常见，后来拍摄到非常多的孩子打工。由此可知该地的可可产业童工非常常见。,模型需定位到介绍圣佩德罗的片段，通过采访当地人以及实地考察，都可以看到童工早上7点拿着砍刀来到这里,,,,,,,,,,
,,,,2,Is forest protection good or bad in San Pedro?,通用知识推理,Bad.,视频中介绍这里遍布丛林，即使在官方保护的森林也都被砍伐，取代的时可可树，由此可知这里的森林保护工作做的不好,模型需定位到介绍该地区森林的片段，人们为了可可种植砍伐森林，即使是在官方保护区也被种植了可可树，由此可知该地区森林保护工作并不完善,,,,,,,,,,
,,,,3,Is jose a satisfied person or a complainer?,人物属性建模,Satisfied.,,模型需定位到介绍jose一家生活的片段，jose在做家务，她说不能准确地告知收入，但是足够一家人生活，并且虽然家里人很多都住在一起，房子破旧，她并没有抱怨,,,,,,,,,,
,,,,4,Is Ysef a grumpy person or a simple person？,"多线索推理,人物属性建模",Simple.,,模型需定位到介绍三个童工的片段以及他们回到住宿的片段，他们虽然一直在可可地里工作却从未品尝过巧克力的味道，回到宿舍后，他说在这里会想家，也并没有因为环境艰苦而抱怨，由此可知他是一个单纯的人。,,,,,,,,,,
,,,,5,What color is the chocolate packing that the three of ysef got?,多模态/多语言推理,Golden.,,模型需定位到拍摄团队给三个童工巧克力的片段，当地人称他们从未品尝过巧克力，制作团队给了他们，通过观察包装是金色的。,,,,,,,,,,
6,https://www.youtube.com/watch?v=hVoRXdcCOjw,24:01,教学 - 工业制造,1,Has the capacity of lithiumion batteries increased or decreased in the past 30 years?,通用知识推理,Increased.,视频介绍过去三十年科学家再想办法增加锂离子电池的每公斤的容量，并且其容量呈现线性趋势，应用于汽车等领域。因此是增长的,模型需定位到介绍锂离子电池的片段，线性趋势可知是增长的。,,,,,,,,,,
,,,,2,Is eVTOL an environmentally friendlly device or not?,通用知识推理,Yes.,该飞机采用电力装置而不是燃烧燃料，排碳量更少，因此是环保的。,模型需定位到介绍该飞机动力来源的片段，飞机采用电动机而非燃料喷气装置，排碳量更少，因此它是环保的一种装置。,,,,,,,,,,
,,,,3,Is Tomasz a person with rich imagination or a person who lacks imagination?,人物属性建模,A person with rich imagination.,,模型需定位到介绍Jetson创始人tomasz的片段，他制造飞行汽车的灵感来源于无人机，有一次他想如果无人机的规模扩大到自己可以驾驶会怎么样。因此他是一个想象力丰富的人,,,,,,,,,,
,,,,4,Is matthew an opyimistic or a negative person?,人物属性建模,Optimistic.,,模型需定位到介绍马修的片段，他专门研究电池，虽然提出未来飞机电池面临的一些问题和挑战，但依然承认电池每年都在以希望的速度进步，由此可知他是一个乐观的人,,,,,,,,,,
,,,,5,Are the planes in Tomasz warehouse colored or black and white?,多模态/多语言推理,Black and white.,,模型需定位到tomasz来到仓库的片段，他说这是废弃飞机的储存，通过观察几架飞机都是黑色或白色的。,,,,,,,,,,
7,https://www.youtube.com/watch?v=aYVz0XaKCcI,23:02,vlog - 亲子,1,What is the relationship between Steven and Jess?,人物属性建模,They're a couple.,,视频中Jess对婴儿Hunter自称“mommy”，Steven称整个团队为“our little family”，所以得出结论他们是夫妻。,,,,,,,,,,
,,,,2,Does Jess like to travel?,人物属性建模,Yes.,,视频中Jess在旅行途中的表情动作，如斋普尔阶梯井探秘、阿格拉街头美食深度体验，可以看出Jess喜欢旅游。,,,,,,,,,,
,,,,3,How many places do they go?,多线索推理,Four.,,"视频中他们一共去了四个地方：New Delhi, Agra (Taj Mahal), Jaipur (Pink City), Amber Fort。",,,,,,,,,,
,,,,4,"What makes Agra's street food ""chaat"" linguistically distinct?",通用知识推理,Onomatopoeic eating sounds.,“chaat”在印地语中源自“chaatna”（舔），而该词本身拟声化咀嚼脆食的声音。,视频中提到“chat因舔手指得名”，但进一步分析，“chaat”在印地语中源自“chaatna”（舔），而该词本身拟声化咀嚼脆食的声音。视频中食物含脆土豆片、油炸面包，与拟声命名逻辑一致。,,,,,,,,,,
,,,,5,What is the height requirement for the Slinky Dog Dash slide?,通用知识推理,38 inches.,“你必须是 38 英寸，这样 Hunter 才能做到”，结合前面，可推断该滑梯的身高限制为 38 英寸。,视频中提到 “你必须是 38 英寸，这样 Hunter 才能做到”，结合前面，可推断该滑梯的身高限制为 38 英寸。,,,,,,,,,,
8,https://www.youtube.com/watch?app=desktop&v=zJ97HL9jDkE,23:26,vlog - 宠物,1,Is the blogger a talkative person or he prefers to keep silent?,人物属性建模,He is a talkative person.,,模型可以通过对博主人物模型进行捕捉，从他不停说话来看出博主是一个爱说话的人。,,,,,,,,,,
,,,,2,What's the blogger's profession?,"多跳推理,人物属性建模",A businessman related to pet products.,,博主到工作室后，他的身后可以看到类似于货架的东西，在为每一个人打包快递，嘴里还说这这时来自...的...订购的...，并且打包的都是宠物用品，可见他是一个主营动物用品的商人,,,,,,,,,,
,,,,3,How many kinds of animals did the blogger introduce during the video?,多线索推理,One.,,模型在视频前端和后端识别出有两个片段博主在介绍自己的动物，但无论前段还是后段，博主都只介绍了兔子一种动物。,,,,,,,,,,
,,,,4,What's one of the star Lady Gaga's most distinguished feature?,"多模态/多语言推理,通用知识推理",eyelines.,博主收养了一只兔子，取名叫Lady Gaga，因为很多人都说她们很像，就像她们那浓密的黑色眼线，因此黑色眼线就是她最显而易见的特征,博主把收养的兔子取名叫Lady Gaga，因为很多人都说她们很像，都有浓密的黑色眼线，因此黑色眼线就是她最显而易见的特征,,,,,,,,,,
,,,,5,Can the fur of long haired guinea pigs be dried with a hair dryer？,"多线索推理,通用知识推理",Yes.,博主在给豚鼠洗完澡后，用吹风机慢慢把它吹干，即使听到吹风机强大的噪音，豚鼠也没有害怕的迹象，依然非常活泼，好动,在使用吹风机时，即使听到吹风机强大的噪音，豚鼠也没有害怕的迹象，依然非常活泼，好动，因此是可以使用吹风机吹干的,,,,,,,,,,
9,https://www.youtube.com/watch?v=Ve7ldphuTgg&t=793s,24:24,vlog - 亲子,1,What foods are sold in California Disneyland?,"多线索推理,多模态/多语言推理,通用知识推理","Bread, hotdog, cinnamon pretzel.",在他们来到迪士尼时，门口的牌子上写有california，说明是在加州的迪士尼，并且在一家人吃饭时他们分别吃了面包，热狗和肉桂椒盐卷饼，说明加州迪士尼是买这些食物的,模型需先确定是在加州的迪士尼，并且在一家人吃饭时他们分别吃了面包，热狗和肉桂椒盐卷饼，说明加州迪士尼是买这些食物的,,,,,,,,,,
,,,,2,What kind of goods is Michael most intrested in Disneyland?,"多线索推理,人物属性建模",Hats.,,模型可以定位到Michael试了很多帽子，最后也买了帽子，因此他对帽子最感兴趣,,,,,,,,,,
,,,,3,"Among these characters, which don't belong to Disney? Darth Maul, Mickey Mouse, Elsa and Spiderman?","多线索推理,多模态/多语言推理,通用知识推理",Spiderman.,"Darth Maul, Elsa，Mickey Mouse都在迪士尼公园出现过，只有spiderman没有出现过。",模型可以追踪一家人在disneyland游玩的片段，前三个人物都出现过，只有spiderman没出现过。,,,,,,,,,,
,,,,4,Which instrument can Zach play?,人物属性建模,Piano.,,模型可以追踪到Michael 弹钢琴的片段。,,,,,,,,,,
,,,,5,What's chloe's favorite Disney character?,"多线索推理,人物属性建模",Moana.,,"模型可以定位到chloe两次提到Moana，一次是她玩完蹦床回来，说她就是moana,另一次是她对一个moana玩偶爱不释手。",,,,,,,,,,
10,https://www.youtube.com/watch?v=zFJpIsXDYlg,23:06,vlog - 亲子,1,What is Ben and Lily's relationship?,人物属性建模,Ben is Lily's dad.,,视频中明确提及核心家庭为“Nelson family”，Ben是父亲角色，而Lily被列入子女列表。,,,,,,,,,,
,,,,2,Is Delaney a responsible girl?,人物属性建模,Yes.,,视频中明确提到任天堂Switch是家庭共有物品，但“只有Delaney在认真管理”，表明她主动承担超出个人义务的责任，她是一个有责任感的女孩子。,,,,,,,,,,
,,,,3,How many modes of transportation are used in total?,多线索推理,Two.,,视频中一共出现了两种出行工具：家庭巴士和Ben的私人汽车。,,,,,,,,,,
,,,,4,What is the primary purpose of multiple coolers on a long road trip?,通用知识推理,Separate perishable foods.,四个冷却箱分装水果和午餐，分类保存易腐食物，避免交叉污染或变质。,视频中用四个冷却箱分装水果和午餐，分类保存易腐食物，避免交叉污染或变质。,,,,,,,,,,
,,,,5,How do re-stickable stickers prevent damage to clothing?,通用知识推理,Low-adhesive material.,其使用低粘性胶质，确保反复粘贴不留残胶。,视频中提到Beckham的贴纸“不会损坏衣服”，推断其使用低粘性胶质，确保反复粘贴不留残胶。,,,,,,,,,,
11,https://www.youtube.com/watch?v=Uk9fiEhxjBk,26:46,访谈 - 动态（含充分视觉信息）,1,What is Angeline's profession?,人物属性建模,Writer.,,视频定位到四月介绍安吉拉的时候提到她邀请到了那本书的本人来到现场，由此看出她是一位作家。,,,,,,,,,,
,,,,2,What's the most important trick for Angeline to make vension?,"多线索推理,多模态/多语言推理","Two cups, two hours.",,视频定位到安吉拉介绍自己做菜的食材和步骤的一段，安吉拉提到最多的就是两杯，两小时，并且她强调只需要记住这个。,,,,,,,,,,
,,,,3,Can buttermilk be used to marinate venison?,"多模态/多语言推理,通用知识推理",Yes.,视频定位到安吉拉做鹿肉的片段，她说她研究了三种腌制鹿肉的方法，分别列出了可乐，红酒和酪乳，由此推理出酪乳可以用来腌制鹿肉。,视频定位到安吉拉做鹿肉的片段，她说她研究了三种腌制鹿肉的方法，分别列出了可乐，红酒和酪乳，她觉得酪乳腌制得最好吃。,,,,,,,,,,
,,,,4,Is Angeline interested in cooking?,"多线索推理,人物属性建模",Yes.,,从整个视频来看安吉拉很会做饭，并且她对做饭方法很有研究，可以看出她对烹饪感兴趣。,,,,,,,,,,
,,,,5,Why cook venison with olive oil instead of butter?,"多模态/多语言推理,通用知识推理",Olive oil has less smoke than butter.,模型定位到安吉拉刚开始放油的片段，她说她选择的是橄榄油，因为橄榄油烟雾燃烧率高，用黄油肯定会弄得一团糟，由此推理出用橄榄油烹饪鹿肉会减少烟雾。,视频定位到安吉拉刚开始放油的片段，她说她选择的是橄榄油，因为橄榄油烟雾燃烧率高，如果使用黄油会弄得一团糟，看出橄榄油比黄油更适合烹饪鹿肉。,,,,,,,,,,
12,https://www.youtube.com/watch?app=desktop&v=xPU4-07VTmQ&list=WL&index=1&t=14s,25:42,vlog - 宠物,1,Is the goat breeding suitable for the novices?,通用知识推理,No.,博主在介绍养山羊时，说到你最好养三只山羊，因为它们每天都在发明新的死亡方式，并且2020年养山羊变得很火爆时，人们并没有意识到养它们的难度怎么样，以上可表明养山羊并不适合新手,博主说到山羊每天都在发明新的死亡方式，并且2020年养山羊变得很火爆时，人们并没有意识到养它们的难度怎么样，说明养山羊死亡率很高，表明养山羊并不适合新手,,,,,,,,,,
,,,,2,"Anne stated that people shouldn't keep goat, is it really so?",人物属性建模,No.,,尽管模型不管是在识别视频标题还是视频开头Anne说的话都是不要养山羊，但是视频整篇都在讲山羊多可爱，博主也很爱山羊，因此Anne说”不要养山羊”其实是一种jocular and ironic hook。,,,,,,,,,,
,,,,3,Why did the goat breeding became very popular in 2020?,通用知识推理,"Because during the Covid-19, people were stuck at home.",Covid-19在2020年席卷全球，很多人被关在了家里，因此就有很多人开始养羊。,"模型可以通过视频中对2020年Goats变得popular和2020年席卷全球的Covid-19，“people were stuck at home""相关联，就可以得出当时因为疫情，人们被关在家里所以把羊当作宠物就变得很火热。",,,,,,,,,,
,,,,4,What happened to the three goats after Anne had the thought to have a dairy supply?,多跳推理,The first one never produced and the other two died.,,模型可以通过捕捉在视频前段Anne说想要Dairy supply之后介绍的三只羊，第一只从来没有产出过，第二只死的很快，都没有做medical treat 第三只 was possessed by Satan 判断出三只羊的情况。,,,,,,,,,,
,,,,5,What color is the wool of the second dairy goat?,多模态/多语言推理,It was a dark-brown goat.,,博主提到了她养的三只diary goat，在介绍到第二只的时候，通过镜头展示了这只羊，结合视觉，可以得出羊的颜色是深棕色。,,,,,,,,,,
13,https://www.youtube.com/watch?v=67M1c8cpbvg,20:47,教学 - 烹饪,1,Are most of Ches Panisse's dishes priced above or below $40?,"多线索推理,通用知识推理",Below.,虽然这个菜单不一定展示了菜单全貌，但一般来说主厨做的菜要贵一些，既然Ann负责的菜品价格也没超过40美元，其他菜品应该也不会超过这个价。,定位到Ann介绍餐厅每日菜单的片段，她说本餐厅每天都有新花样，她作为主厨偶尔也会做两道菜，此时画面给出了餐厅的菜单，上面还有每道菜的价格，价格区间在十几到三十几美元。,,,,,,,,,,
,,,,2,Do most of Ann's own knives have wooden or plastic handles?,"多线索推理,多模态/多语言推理",Wooden.,,定位到Ann展示自己刀具的片段，刀具是包在布袋子里的，Ann把它展开时才能看见刀具全貌。可以看见大部分刀的刀柄是木头黄色的。而且Ann在切不同的食材时用了不同的刀，这些刀的刀柄基本都是木头的。,,,,,,,,,,
,,,,3,Is Ann strong or weak?,"多线索推理,人物属性建模,多模态/多语言推理",Strong.,,Ann没说自己有劲儿，但是她说了一大盘子花菜的重量，结合她搬运羊腿、拉绳子往楼上送菜品的片段，可以确定这个女人非常强壮。,,,,,,,,,,
,,,,4,Are all Chez Panisse chefs women?,"多线索推理,通用知识推理",No.,女性当主厨不意味着团队里没有男的，结合多个片段可知该餐厅也有部分男厨师。,Ann有特别介绍这个餐厅从创立之处就非常重视女性力量，创始人就是女人，放眼望去Ann身边也都是女厨师。但早会的与会人员和个别岗位的工作人员也有男性。,,,,,,,,,,
,,,,5,Does Ann have a flexible hand?,人物属性建模,Yes.,,比如Ann切橄榄、洋葱，用手处理羊腿等，都能体现她作为主厨的功力，手非常灵巧，不是一般人的水平。,,,,,,,,,,
,,,,6,What did Ann cut after teaching Juliet to cut the fish?,多跳推理,Olives.,,Ann在教授别人处理鱼肉的结尾虽然说了要去准别跟橄榄有关的菜了，但是下一个镜头给到了菜板上不止一种待处理食材，需要观察Ann实际操作的画面，切的是橄榄。,,,,,,,,,,
,,,,7,Is Chez Panisse's style very modern and mechanized?,"多线索推理,通用知识推理",No.,除了设备材质，Ann往楼上送菜的装置都是人工用绳子拉的，不是电动的，后厨的大部分菜品都是人工切、人工搅拌的，所以这家餐厅追求一种原汁原味的自然风，高科技机械并不多。,这家餐厅的建筑和设备有一个特点，就是木质材料很多，店门、后厨操作台、桌子等，装修风格就很贴近自然。,,,,,,,,,,
14,https://www.youtube.com/watch?v=1NVXGMIaJ-I,24:10,vlog - 工作,1,What kind of videos does Ashley post on TikTok? ,"人物属性建模,多模态/多语言推理",Daily life videos.,,模型需要定位Ashley介绍自己的tiktok账号的片段，根据画面中Ashley的tiktok主页截图可以看到她发布的视频都是比如星期天日程、丝芙兰购物、打包午饭等日常片段，因此可知Ashley在tiktok上会发布日常生活类的视频。,,,,,,,,,,
,,,,2,Can Ashley drive? ,人物属性建模,Yes.,,模型需要定位Ashley开车去上班的片段，根据该片段可知Ashley会开车。,,,,,,,,,,
,,,,3,What is Trader Joe’s? ,"多模态/多语言推理,通用知识推理",A grocery store.,视频中Ashley下班后说要去杂货店购物，根据之后购物的画面看到她去的是Trader Joe’s，因此Trader Joe’s是一家杂货店。,模型需要根据Ashley的话识别出她要去杂货店购物，再根据视觉看到画面中她去的店叫Trader Joe’s，因此可推测Trader Joe’s是杂货店。,,,,,,,,,,
,,,,4,What did Ashley do after rinsing the salmon? ,多跳推理,Pat the salmon dry.,,模型需要首先定位Ashley冲洗三文鱼的片段，再根据这个片段之后的画面看到她把三文鱼放到纸巾上按压，推测是在吸干三文鱼表面的水分，因此Ashley洗好三文鱼后做的是用纸把其表面的水分吸干。,,,,,,,,,,
,,,,5,What brand is Stoney Clover? ,"多模态/多语言推理,通用知识推理",A bag brand.,视频中Ashley提到stoney clover和玩具总动员联名了，自己要买，根据她给我们展示的手机画面可以看到联名的东西有腰包、双肩包等等，因此可知stoney clover是一个包包牌子。,模型需要定位视频最后Ashley说要买stoney clover的片段，根据视觉看到她用手机给我们展示stoney clover联名的产品都是包包一类的，由此可知stoney clover是一个包包品牌。,,,,,,,,,,
15,https://www.youtube.com/watch?v=EmEktrkGd_Q,20:22,vlog - 工作,1,Which country does Lucia live in? ,人物属性建模,The United States.,,模型需要定位到lucia说这周芝加哥很冷，由此可知lucia生活在芝加哥，芝加哥在美国，故lucia生活在美国。,,,,,,,,,,
,,,,2,What is Lucia's food intolerance? ,人物属性建模,Gluten.,,模型需要定位lucia星期三吃午饭的片段，片段中她说公司订的餐含有麸质，她就和同事去了Sweetgreen吃午饭，点的是一个无麸的食物，由此可推测lucia对麸质不耐受。,,,,,,,,,,
,,,,3,What brand is for love and lemons? ,"多模态/多语言推理,通用知识推理",Clothing brand.,视频中lucia拿着刚拆出的衣服在身上比划，说这是来自for love and lemons的，由此可知for love and lemons是一个衣服牌子。,模型需要根据听觉听到lucia说这是来自for love and lemons，再结合视觉识别到她拿着的是一件衣服，由此推测for love and lemons是衣服品牌。,,,,,,,,,,
,,,,4,How did Lucia go to the cafe on Tuesday? ,多跳推理,She walked.,,模型需要首先定位星期二lucia去咖啡店取咖啡的片段，根据该片段之前的画面可看出lucia是走路去的。,,,,,,,,,,
,,,,5,Are Suja's drinks regular drinks? ,通用知识推理,No.,视频中lucia收到了来自Suja的一箱饮料，根据画面显示的可以看到每瓶饮料都有不同的功能，比如能量饮料、恢复饮料等等，由此可知Suja饮料不是普通的饮料。,模型需要定位lucia展示Suja饮料的片段，根据片段中的画面可以看到Suja饮料有很多功能，由此可知Suja不是普通的饮料。,,,,,,,,,,
16,https://www.youtube.com/watch?v=UGbkmqF-1jw,22:10,vlog - 工作,1,Does the Dyson curling iron get very hot when in use? ,通用知识推理,No.,视频中Amy说不想让头发过多加热所以买了戴森，戴森比直发棒或卷发棒都要温和很多，由此推测戴森卷发器使用时的温度不会很高。,模型需要定位Amy提到戴森的片段，根据片段内容可推测戴森卷发器使用时的温度不会很高。,,,,,,,,,,
,,,,2,What does isotretinoin do? ,通用知识推理,It improves skin.,视频中Amy说自己服用了异维甲酸后减少了化妆品的量，她之前很在意脸上有痘痘，或者皮肤问题，她认为异维甲酸是值得的，由此可知异维甲酸可以让皮肤变好。,模型需要定位Amy提到自己服用异维甲酸后的效果的片段，根据片段内容可推测异维甲酸可以让皮肤变好。,,,,,,,,,,
,,,,3,Which country is Amy in?,"多线索推理,人物属性建模",The United States.,,模型需要根据多个片段，比如Amy说昨天是总统日所以休息，已知总统日是美国的节日，还有根据画面以及Amy的话可知她在DC，根据这些片段可以判断出Amy生活在美国。,,,,,,,,,,
,,,,4,What will Amy's hair look like on a rainy day?,人物属性建模,It will be more fluffy.,,模型需要定位Amy说自己的头发本来就很蓬松，今天是下雨天，就更上了一个阶级，由此可知在下雨天Amy的头发会更蓬松。,,,,,,,,,,
,,,,5,What did Amy do on Friday after putting on her makeup? ,多跳推理,Repair her car.,,模型需要首先定位星期五Amy化妆的片段，再根据该片段之后的片段分析出她去修车了。,,,,,,,,,,
17,https://www.youtube.com/watch?v=rmqbOFrfy9w,24:26,测评 - 食品,1,What are the criteria for the perfect pancake?,通用知识推理,Fluffy and tender.,根据视频中展示的完美煎饼须具备的特点可以看出蓬松柔软是排在第一位的,模型需定位视频中对于完美松饼的介绍，对于完美松饼的评价，可以看出蓬松柔软是排在第一位的。,,,,,,,,,,
,,,,2,What kind of pancake does Shilpa like?,人物属性建模,Pancake wih buttermilk or sour cream.,,模型需定位Shilpa对于松饼加分项的描述，她更喜欢有酸奶油的覆盖,,,,,,,,,,
,,,,3,What does the height of the pancake represent?,通用知识推理,Amount of yeast.,酵母是一种天然发酵剂，具有使制品疏松、改善风味、增加营养价值等功效。而酵母的用量会影响松饼的发酵程度，进而影响他的高度。,模型需定位Shilpa对于松饼的高度也就是厚度的评价，越高就意味着，酵母用得越多,,,,,,,,,,
,,,,4,Why is Bisquick Shake ‘n Pour so unpopular?,多线索推理,Not the normal pancake texture,,模型需主厨们对于Bisquick Shake 'n Pour的评价，因为他不加常规的原料，只加水，很难达到应有的口感。,,,,,,,,,,
,,,,5,Does Shilpa like Trader Joe’s Buttermilk Pancake Mix?,人物属性建模,No.,,模型需定位Silpa对于Trader Joe’s Buttermilk Pancake Mix的评价，她表示口感很干，而且不柔软，需要配很多枫糖来中和。,,,,,,,,,,
18,https://www.youtube.com/watch?v=5ZOlvge2dKQ,27:00,vlog - 出行,1,What is the relationship between Vlogger and Ryan?,"多线索推理,人物属性建模",Lovers.,,博主与瑞恩（Ryan）共同入住圣托里尼的酒店，分享同一房间（“我们的卧室”），并提到瑞恩的衣柜和个人物品，表明他们有亲密的共同生活安排。根据博主与Ryan的互动，瑞恩被蜻蜓“攻击”时的轻松调侃（“蜻蜓攻击瑞恩”），以及他们一起玩牌时的亲密对话（“这几乎让我们分手了”），可以判断出两人是恋人关系。,,,,,,,,,,
,,,,2,What is the relationship between Suzie and Victoria?,"多线索推理,人物属性建模",Close friends.,,模型首先要根据判断出vlogger是Suzie（在展示香奈儿包时vlogger说出了自己的名字），然后为了庆祝维多利亚的生日，她在维多利亚家中住了几天，以及与维多利亚一起观看《芭比》电影、去水疗中心做全身按摩以及在SoHo Farmhouse共进晚餐，这都表明她们有深厚的个人关系，故可以判断两人是亲密朋友。,,,,,,,,,,
,,,,3,What cosmetics can cover sunburned red spots on the face for fair skin?,"多模态/多语言推理,通用知识推理",Bronzed blush.,根据视频画面可以判断vlogger是白种人，她的脸部被太阳晒伤了，但由于没有带古铜色腮红她没办法遮住晒伤的红斑，对此表示非常的后悔，称这是一个糟糕的决定，故可以判断对于浅色皮肤而言，古铜色腮红可以遮盖脸上的晒伤红斑。,模型需要根据视频画面确定vlogger的肤色类型以及晒伤部位，然后结合音频她对于古铜色腮红的需求是因为脸晒伤了，进行答案推理。,,,,,,,,,,
