视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,6,Was the main purpose of the indigenous people's painting on the rocks for information transmission or artistic expression? ,多线索推理,Information transmission.,,根据luke介绍土著当时在岩石上画了动物，人物和其他东西，可以得知，主要目的是为了信息传递。,,,,,,,,,,
3,https://www.youtube.com/watch?v=SUgpjjAhUYo,30:27,教学 - 工业制造,1,What is Adam's explanation style like?,"多线索推理,人物属性建模",Detailed explanation style.,,通过观看视频，Adam 在讲解啤酒酿造的各个方面都表现出了详细讲解的风格，从酿造过程、设备原料到酿造知识和特殊啤酒，都进行了深入、细致、全面的讲解。由此可知，Adam的讲解风格是详细讲解型。,,,,,,,,,,
,,,,2,Since which year has the Czech Republic had the highest per capita beer consumption in the world?,通用知识推理,1993.,从1993年开始，捷克共和国的人均啤酒消费量就超过了其他所有国家，稳居世界第一，一直到现在都没被超越。,通过观看视频，视频开头Jonny讲到1993 年以来，捷克共和国的人均啤酒消费量比地球上任何其他国家都多，由此可知自从1993年以后，捷克共和国的人均啤酒消费量比其他国家都多。,,,,,,,,,,
,,,,3,Is Jonny a person who is not good with words?,人物属性建模,No.,,通过观看视频，根据Jonny 在参观啤酒厂过程中的积极参与对话、对啤酒的详细描述、幽默风趣的表达以及对啤酒知识的交流和探讨等方面，由此可知他不是一个不善言辞的人。,,,,,,,,,,
,,,,4,Where did Jonny go after listening to Adam's explanation?,多跳推理,Hop storage area.,,通过观看视频，先定位到Adam向Jonny讲解而片段，可知接下来去了啤酒花储藏区。,,,,,,,,,,
,,,,5,What kind of company owns Budweiser Budvar?,通用知识推理,Controlled by the government of the Czech Republic.,Budweiser Budvar是由捷克共和国政府控股的啤酒厂，代表着捷克的啤酒文化和传统。,通过观看视频，啤酒是捷克共和国国家身份认同的重要部分，而 Budvar 作为该国最好的啤酒厂之一，是由国家所有的。由此可知，Budweiser Budvar是由捷克共和国政府控股的啤酒厂。,,,,,,,,,,
4,https://www.youtube.com/watch?v=lNuSJXiXsDc,27:29,教学 - 工业制造,1,Which continent has the highest chocolate consumption in the world?,通用知识推理,Europe.,欧洲是全球巧克力消费量最高的地区，其巧克力文化历史悠久，有众多知名品牌和厂家。,定位到视频里，视频中讲述了巧克力总量在各种洲的消费比重，其中欧洲是最多，将近一半。,,,,,,,,,,
,,,,2,Is David a person who is good at communication or a person of few words? ,"多线索推理,人物属性建模",He is good at communication.,,通过观看视频，视频中David第一次和Lawrence见面，但在参观巧克力工厂时，俩人却很好的交流沟通，由此可知，David是擅长与人沟通。,,,,,,,,,,
,,,,3,Is Lawrence a perfunctory person?,人物属性建模,No.,,通过观察视频里Lawrence的讲解，如逐一介绍、亲自演示、耐心解释等细节，由此可知Lawrence是一个很仔细、耐心的人，而非敷衍。,,,,,,,,,,
,,,,4,What percentage of cocoa content in chocolate is considered healthier?,通用知识推理,Over 70 percent.,可可含量越高的巧克力通常被认为越健康，70%-90%可可含量的巧克力是最佳健康选择，既能提供丰富的抗氧化剂，又不会过于苦涩。85%以上可可含量的巧克力适合追求低糖和高抗氧化剂的人群。低于70%可可含量的巧克力糖分较高，健康效益较低，建议适量食用。,定位到视频中Lawrence介绍最好吃的巧克力Belizean 巧克力，并解释到，其可可含量很高甚至超过70%，为75%，控制了其中的糖分，是一种很健康的巧克力，并解释了巧克力中的可可含量越高，其越健康。,,,,,,,,,,
,,,,5,What kind of chocolate did David taste after he finished making the high-heeled shoe-shaped chocolate? ,多跳推理,Gold chocolate.,,定位到视频里，David在做完高跟鞋巧克力后，品尝了红宝石巧克力。,,,,,,,,,,
5,https://www.youtube.com/watch?v=HLbV9s5MrgM,24:04,vlog - 日常（综合）,1,What other clothing series does the White Fox Boutique brand launch besides the daily wear series? ,通用知识推理, White Fox Swim and White Fox Active.,Nicole Laeno讲述无论在什么场合，White Fox 都能提供合适的服装。但除了这些日常服饰之外，White Fox Boutique 还备有 White Fox Swim（白狐泳装系列）和 White Fox Active（白狐运动系列）的商品,Nicole Laeno讲述无论在什么场合，White Fox 都能提供合适的服装。但除了这些日常服饰之外，White Fox Boutique 还备有 White Fox Swim（白狐泳装系列）和 White Fox Active（白狐运动系列）的商品。由此可推断,,,,,,,,,,
,,,,2,How many sets of White Fox clothes did Nicole Laeno display in total at the beginning of the video?,多线索推理,15,,视频前部分是Nicole Laeno展示White Fox的衣服，模型需要识别画面，一套衣服指的是一整套穿搭的不同，计数可得为15套,,,,,,,,,,
,,,,3,Does Nicole Laeno think that getting up at 11:30 a.m. is something particularly lazy and disruptive to the plan?,人物属性建模, No.,,基于Nicole Laeno描述，上周她是忙碌的一周，她同样认为感到劳累时应当好好睡觉补充体力，所以她不认为晚起床是一件不好的事情。,,,,,,,,,,
,,,,4,Is the relationship between Nicole Laeno and her mother harmonious or cold?,"多线索推理,人物属性建模",It's harmonious., ,视频中Nicole Laeno经常与母亲打电话，分享自己的日常，通过两人交谈片段的表情以及她们经常笑的表现可以得知她们的关系非常融洽。,,,,,,,,,,
,,,,5,Which countries' people does the White Fox brand offer free global express delivery to? ,通用知识推理,Australia and New Zealand.,视频中icole Laeno对于White Fox品牌的介绍，在介绍中她有提到该品牌免费为澳大利亚和新西兰提供全球快递。,基于视频开头Nicole Laeno对于White Fox品牌的介绍，在介绍中她有提到该品牌免费为澳大利亚和新西兰提供全球快递，由此可推断。,,,,,,,,,,
6,https://www.youtube.com/watch?v=h5Zwg3Ag-bE,28:17,教学 - 科技,1,Did Mehdi get electrocuted when he first tried the electrified CD?,"多线索推理,多模态/多语言推理",Yes,,模型通过语言定位到第一轮Mehdi光盘破坏实验部分，然后基于视频画面的记录情况以及Mehdi被电到后的反应可以判断出最初Mehdi被电到了。,,,,,,,,,,
,,,,2,Who is the singer of the golden songs that Bob likes?,人物属性建模,It's Rod Stewart.,,Bob在挑战毁灭罗德·斯图尔特金曲集光盘的时候表示他本人是罗德.斯图尔的铁粉，由此可推断。,,,,,,,,,,
,,,,3,What happened to the surface of the CD when it was heated in the microwave oven for a short time?,"多模态/多语言推理,通用知识推理",There were many cracks on the surface of the CD.,微波炉会对加热的物体造成伤害。,模型通过语言定位到Mark想要通过微波炉破坏光盘的部分，然后基于视频镜头展示细节可知光盘表面出现大量裂缝。,,,,,,,,,,
,,,,4,Is Mehdi afraid or not afraid of getting an electric shock?,人物属性建模,Mehdi is not afraid of electric shocks.,,Mehdi在每一轮比赛中，有被电到后都会再词尝试，不断挑战。虽然被电到表情不好，但是他的行为仍然哦是不断靠近，不断尝试。,,,,,,,,,,
,,,,5,What kind of knowledge can playing CrunchLabs toys guide children to learn? ,通用知识推理,Science and engineering knowledge.,基于视频Mark讲述设置CrunchLabs目标是帮助孩子们像工程师一样思考寄出了上百万盒玩具。根据统计四分之三的家长表示孩子通过玩具爱上了学习理工知识。,基于视频Mark讲述设置CrunchLabs目标是帮助孩子们像工程师一样思考寄出了上百万盒玩具。根据统计四分之三的家长表示孩子通过玩具爱上了学习理工知识。由此可推断。,,,,,,,,,,
7,https://www.youtube.com/watch?v=VpihnIu4Pvs,27:44,vlog - 工作,1,What are the procedures for the opening ceremony of a fire station in the United States?,通用知识推理,Raise the national flag and push fire trucks into the fire station.,在美国，消防站开放仪式中要升国旗、将消防车推进消防站。,根据20号消防站开放仪式的一天可推断。,,,,,,,,,,
,,,,2,"What are the occupations of Ronnie, Jeremy, Nick and Bob?",人物属性建模,They are all firefighters.,,根据视频里他们三人的穿着和工作可以推断出他们的职业是消防员。,,,,,,,,,,
,,,,3,What is the working principle of the optical icon box in the fire station?,通用知识推理,Direction is indicated by emitting specific lights.,消防站的光学图标盒的工作原理是发出特定的光线为消防员指示方向。,由博主对光学图标盒的讲解可以推理出来。,,,,,,,,,,
,,,,4,Is Ronnie someone who is not afraid of hardship?,人物属性建模,Yes，he is.,,Ronnie接受培训，掌握救火救人的技能，随时应对各种突发情况，可见他是不惧艰苦的。,,,,,,,,,,
,,,,5,What do fire stations do to prevent cancer?,多线索推理,Set up an air-tight bathroom and separate area for cleaning truck towels.,,消防站为了预防癌症，设置了气密性浴室和单独清洁卡车毛巾的区域。,,,,,,,,,,
8,https://www.youtube.com/watch?v=tpg3VvoIVfA,22:53,教学 - 科技,1,"Which is more suitable for adults among the CrunchLabs products, BuildBox or HackPack? ",通用知识推理,HackPack.,通过视频中Mark的表述团队设置了儿童款BuildBox以及面向青少年和成人款HackPack。,通过视频中Mark的表述团队设置了儿童款BuildBox以及面向青少年和成人款HackPack。由此可推断。,,,,,,,,,,
,,,,2,What is the relationship between Kevin and Mark?,人物属性建模,They have a colleague relationship.,,在给乌鸦关卡设置时，视频有提到Kevin的画像，表述Kevin曾经和自己录制过有关柠檬水的一期视频，可以推断两人至少有同事关系。,,,,,,,,,,
,,,,3,Is Mark's current attitude towards crows more on the positive side or the negative side?,"多线索推理,人物属性建模", Mark's attitude is more on the positive side.,,在终极游戏最后乌鸦Cheryl在获得食物后叼起一块鸡块蘸水放到了Mark的画像位置，因此Mark认为它是懂得感激的，在视频最后Mark回忆起曾经其他乌鸦对她的骚扰也不会生气了，可以展现出对于乌鸦态度的积极表现。,,,,,,,,,,
,,,,4,Can Cheryl remember and recognize Mark's face?,多线索推理,Yes.,Cheryl是能够在游戏中百分百摇响Mark画像对应的铃铛。,在终极游戏中，Cheryl连续三次百分百正确的识别Mark的画像并成功摇响对应铃铛，可推断cheryl已经记住了Mark的脸。,,,,,,,,,,
,,,,5,What kind of item is the HackPack among the products of CrunchLabs? ,"多线索推理,通用知识推理",It is a robot in a box.,基于视频中Mark对HackPack的讲述它合作为节日礼物送给最重要的人，这是一个非常有趣的盒装机器人，它开箱即可工作 无需了解代码。,基于视频中Mark对HackPack的讲述它合作为节日礼物送给最重要的人，这是一个非常有趣的盒装机器人，它开箱即可工作 无需了解代码。由此可推断得出。,,,,,,,,,,
9,https://www.youtube.com/watch?v=4J0-Kj1lWpU,20:56,测评 - 工具/机械,1,Why was the tent destroyed?,"多线索推理,多模态/多语言推理",Because it rained heavily yesterday.,,找到第四天与第五天相应片段，并根据画面与描述推理出答案。,,,,,,,,,,
,,,,2,Why is sanding necessary before painting a car?,通用知识推理,To prevent the paint from peeling off.,金属、玻璃等光滑表面需要打磨，否则油漆易剥落。,找到为汽车喷漆时的片段，并根据画面与描述推理出答案。,,,,,,,,,,
,,,,3,Does the author's younger brother like anime characters?,"多线索推理,人物属性建模,多模态/多语言推理","Yes, he does.",,找到对应弟弟收到这份涂满动漫人物的汽车的反应得出答案。,,,,,,,,,,
,,,,4,Does the author love Kokomi?,"人物属性建模,多模态/多语言推理","Yes,she loves Kokomi so much.",,找到对应作者为汽车绘画的片段，并找到作者在汽车上画出的角色，从而得出答案。,,,,,,,,,,
,,,,5,What is the purpose of placing a large fan in the paint room?,"多模态/多语言推理,通用知识推理",To ensure air circulation.,喷漆作业时会有小颗粒到空气中，需要风扇吹散它们来保证空气循环。,找到相应风扇的片段，并根据对应画面与描述推理出答案。,,,,,,,,,,
10,https://www.youtube.com/watch?v=upLZXWc1kdI,24:09,vlog - 日常（综合）,1,What color of the upper garment was Nicole Laeno's father wearing when he went to the church?,"多线索推理,多模态/多语言推理",Orange.,,模型首先根据Nicole Laeno的言语定位到指定片段，然后模型基于图片识别爸爸穿着的短袖颜色为橙色。,,,,,,,,,,
,,,,2,Does Nicole Laeno have a positive or negative attitude when getting along with her parents? ,人物属性建模,She has a positive attitude.,,在过生日当天基于 Nicole Laeno的感想发言可以知道，她为越来越明白上大学以后不能够有更多的时间与父母相处。,,,,,,,,,,
,,,,3,What is the signature dish of Dingtaitang restaurant?,通用知识推理,Buns.,首先基于 Nicole Laeno的语言定位到庆祝生日当天午饭时间，基于她们点菜画面可知饭店名称为鼎泰堂，视频中出现的该餐厅推出的形象人物是包子，圣诞树上挂满带有鼎泰堂名字包子的玩偶。,首先基于 Nicole Laeno的语言定位到庆祝生日当天午饭时间，基于她们点菜画面可知饭店名称为鼎泰堂，视频中出现的该餐厅推出的形象人物是包子，圣诞树上挂满带有鼎泰堂名字包子的玩偶，基于吃饭镜头饭桌上有包子，推出该餐厅提供包子。,,,,,,,,,,
,,,,4,What is the relationship between Nicole Laeno and Cristian?,人物属性建模,They have a relationship of brother and sister.,,在送生日礼物环节，哥哥有为 Nicole Laeno写生日祝福，他有讲述 Nicole Laeno小时候依赖他到现在独立行走，因此可知他是哥哥。,,,,,,,,,,
,,,,5,What is the iconic cartoon character of Dingtaitang Restaurant?,通用知识推理,It's a bun-shaped little figure.,在视频中 Nicole Laeno过生日在鼎泰堂餐厅门口的装饰，在门口处有一个一米多高的卡通包子小人，同时在圣诞树上挂着包子小人吊坠上面写着鼎泰堂。,在视频中 Nicole Laeno过生日在鼎泰堂吃午餐，视频中她展示了餐厅门口的装饰，在门口处有一个一米多高的卡通包子小人，同时在圣诞树上挂着包子小人吊坠上面写着鼎泰堂由此可知该餐厅的标志性卡通人物。,,,,,,,,,,
11,https://www.youtube.com/watch?v=z3KRXSekpXU,30:52,vlog - 日常（综合）,1,What color of bag does Nicole Laeno use to pack her meal before practicing dancing?,多模态/多语言推理,Pink.,,模型基于 Nicole Laeno语言定位到练舞之前准备阶段，然后通过视频画面识别放食物的包是粉红色的。,,,,,,,,,,
,,,,2,What is the sport that Nicole loves?,人物属性建模,Dancing.,, Nicole Laeno演讲种表明了她从 7 岁就开始跳舞，接受过多种舞蹈风格的训练，现在是圣地亚哥州立大学舞蹈队的一员，并且强调舞蹈永远是她的最爱。,,,,,,,,,,
,,,,3,What does Nicole Laeno like to do before going to bed?,人物属性建模,Wear an eye mask.,,在学期末的演讲中Nicole Laeno，分享给同学们自己的睡眠好物，因此睡前对Nicole Laeno来说戴眼罩非常重要。,,,,,,,,,,
,,,,4,Is Obi Market an open-air market or an indoor market? ,通用知识推理,It is an open-air market.,通过视频中Nicole Laeno在Obi Market购物的片段可以看出始终在户外。,Nicole Laeno与欧恩有们去Obi Market去玩，通过视频画面可以知道是一直处于室外状态的。,,,,,,,,,,
,,,,5,How often does the Filipino club at San Diego State University hold activities? ,"多线索推理,通用知识推理",Once a week.,视频中Nicole Laeno记录了自己参加San Diego State University 菲律宾俱乐部的片段，讲述该俱乐部每周都会举办一次活动。。,视频中Nicole Laeno记录了自己参加San Diego State University 菲律宾俱乐部的片段，讲述该俱乐部每周都会举办一次活动，活动上上他们可以自由讨论近期发生的事情，由此可推断。,,,,,,,,,,
12,https://www.youtube.com/watch?v=y5fh6-RvYDs,25:25,教学 - 烹饪,1,Why can the fat on ham prevent the ham from oxidizing?,通用知识推理,Because the fat on the ham blocks the oxygen,火腿上的脂肪可以防止火腿氧化的原因是脂肪隔绝了氧气,定位到火腿出现的片段，Marcel提到，把脂肪放回去很重要，因为它可以防止它（指火腿）氧化，因为氧气是导致食物变质的原因，可推断出,,,,,,,,,,
,,,,2,Are baby broccoli and broccoli the same species?,通用知识推理,No,嫩茎花椰菜和西兰花不是一个物种,定位到Marcel介绍西兰花的片段，Marcel让博主拿出嫩茎花椰菜，博主说”那是西兰花，是小西兰花“，Marcel说”不，严格来说不是，它（嫩茎花椰菜）更嫩一点，西兰花是它自己的物种，说实话有时人们真的无法区分”，可推断出,,,,,,,,,,
,,,,3,What kind of sauce does Josh like?,"人物属性建模,多模态/多语言推理",Vinegar sauce,,视听结合确认Josh身份，定位到摆放烤过的黄桃罐头的片段，Marcel加入香醋酱的时候，Josh和妈妈都问了这是什么，Marcel说”这是你喜欢的香醋产品“，如何妈妈惊讶地对着Josh”你喜欢那个（香醋酱）”，Josh说“我喜欢它，但是我不会想到把它放在桃子上”，可推断出,,,,,,,,,,
,,,,4,What is the egg mixture that Marcel adds when making pasta?,"多线索推理,多模态/多语言推理",A mixture of eggs and cheese,,定位到Marcel做意大利面的片段，结合之前片段可知所指的鸡蛋混合物是之前妈妈做的鸡蛋和奶酪的混合物,,,,,,,,,,
,,,,5,What hobbies does Marcel have?,"多线索推理,人物属性建模,多模态/多语言推理",Cooking and gardening,,视听结合确认Marcel身份，视频开头Marcel说“我是厨师Marcel，我只是把自己视为人民的厨师，只是想为人民服务，只是烹饪美食，并举办平易近人的轻松亲密的聚会”，可推断出做饭不只是Marcel的工作也是他的爱好，介绍材料时Marcel提到了“我花园里的牛至”，“我花园里的迷迭香”，还提到“我将在几个月内做一个社区花园，有很多我正在指导的小孩”，“唯一没有在我花园里种的蔬菜只是一些微型蔬菜”，可推断出园艺也是Marcel的爱好,,,,,,,,,,
13,https://www.youtube.com/watch?v=6tnGXs8xmys,27:02,vlog - 日常（综合）,1,How many children does the blogger have in total?,多线索推理,There's three kids.,,根据博主所讲和视频中出现的孩子可知博主一共有三个孩子。,,,,,,,,,,
,,,,2,"When we wake up in the morning, what can we do to achieve the dual effect of skin care and swelling reduction?",通用知识推理,Put skin care products in the refrigerator and then apply them.,早上起床后想要达到护肤和消肿的双重效果，可将护肤品放进冰箱里放冷然后涂抹。,根据博主说使用冷产品可以消肿并唤醒皮肤，我们可以推出早上起床后想要达到护肤和消肿的双重效果，可将护肤品放进冰箱里放冷然后涂抹。,,,,,,,,,,
,,,,3,Is the blogger a person who pays more attention to skin management?,人物属性建模,She pays attention to skin care.,,根据博主说她喜欢护肤产品，她在敷面膜的时候说她享受这个过程，可以看出她注重皮肤管理。,,,,,,,,,,
,,,,4,What kind of brand is EMILE & IDA?,通用知识推理,It is a clothing brand.,EMILE & IDA是一家服装品牌。,博主展示了她给女儿们买的衣服，结合她说Emil and lda是她最喜欢的品牌之一，可知EMILE & IDA是一家服装品牌。,,,,,,,,,,
,,,,5,What is the relationship between June and the blogger?,人物属性建模,June is the blogger's daughter.,,博主去女孩的房间介绍女孩的衣服，并说这是June的。,,,,,,,,,,
14,https://www.youtube.com/watch?v=RG-2UYa_-84,22:48,vlog - 工作,1,How much did the Dutch giant weigh?,人物属性建模,350 pounds.,,荷兰巨人重350磅。,,,,,,,,,,
,,,,2,Is the height of the New York subway 2.7 meters?,通用知识推理,The New York subway is no taller than 2.7 meters.,纽约地铁的高度没有2米7。,荷兰巨人身高2米7，而荷兰巨人在纽约地铁中弯着腰行走可推测出纽约地铁没有2米7高。,,,,,,,,,,
,,,,3,What is the occupation of the Dutch giant?,人物属性建模,Movie actor.,,从视频中可以知道荷兰巨人出演了《速度与激情之东京漂移》等电影，所以他是一名电影演员。,,,,,,,,,,
,,,,4,Can guests staying at the Hout Hotel only go out for breakfast?,通用知识推理,The hotel offers breakfast.,豪特酒店为客人提供早餐。,根据荷兰巨人第二天在酒店吃了早餐，可推测他所住的豪特酒店是提供早餐的。,,,,,,,,,,
,,,,5,How many clothes did the Dutch giant buy at the Balenciaga clothing store?,多线索推理,I bought a total of one dress.,,荷兰巨人在Balenciaga服装店里买了一件上衣。,,,,,,,,,,
15,https://www.youtube.com/watch?v=NeFKijuVo2w,21:11,vlog - 特殊事件,1,Which childbirth technique uses epidural anesthesia?,通用知识推理,Painless childbirth.,Epidural（硬膜外麻醉）是一种用于缓解分娩疼痛的麻醉方式。它是一种局部麻醉，通过阻断疼痛信号的传递，减少或消除分娩时的疼痛。,视频内容：Mai在宫口扩张的过程中一直因为宫缩而疼痛不已，但进行Epidural麻醉之后她整个人精神状态都好起来了，开始感谢医疗技术的进步。——>推理：Mai使用Epidural是因为她选择了无痛分娩。,,,,,,,,,,
,,,,2,Which stage of labor is the longest?,"多跳推理,通用知识推理",The dilation stage. ,分娩过程氛围三个阶段，宫口扩张是第一个阶段，也是时间最长的阶段。在这个阶段中，宫口需要扩张到10厘米（dilation 10），才能确保孩子通过产道。,视频内容：Mai在羊水破了之后等待了20个小时宫口扩张才开始pushing的环节。——>推理：分娩过程中最长的部分是宫口扩张。,,,,,,,,,,
,,,,3,Is Mai a great mother?,"多线索推理,人物属性建模","Yes, she is.",,视频内容:Andy说他从未听过Mai之前发出过像宫缩时一样痛苦的声音/Mai经历了这样的痛苦仍然为孩子的到来感到欣喜而落泪。——>推理：Mai是一位伟大的母亲。,,,,,,,,,,
,,,,4,Is Andy a resposible or irresponsible husband ?,"多线索推理,人物属性建模",He is a responsible husband.,,视频内容：Andy为Mai生产准备了补充体力的彩虹糖/Andy全程陪伴Mai完成生产——>推理：Andy为Mai的生产做了充分的准备，他是一个负责的丈夫。,,,,,,,,,,
,,,,5,What did Mai and Andy do after the Epidural ?,多跳推理,They took a nap.,,模型需要定位到与Epidural麻醉相关的片段，然后结合前后内容进行分析。,,,,,,,,,,
16,https://www.youtube.com/watch?v=ayf_DKgi-Ys,21:32,教学 - 运动,1,What position should the left hand be in during the ready position for a forehand stroke in tennis?,"多线索推理,多模态/多语言推理,通用知识推理",The left hand should be extended forward.,在正手击球的准备状态下，左手向前伸有助于保持平衡、引导视线、优化引拍动作，是标准的网球技术要点。,视频内容：Liz教练要求Elizebeth在正手击球的准备状态下，将左手摆出“spider arm”——向前伸出的姿势。——>推理：在网球正手击球的准备状态下，左手应该向前伸出。,,,,,,,,,,
,,,,2,Is Elizabeth good at acquiring new skills?,"多线索推理,人物属性建模","Yes,she is.",,视频内容：Elizebeth学习网球掌握得很快——>推理：她是善于学习新技能。,,,,,,,,,,
,,,,3,Is Liz a teacher who is skilled at guiding student.,"多线索推理,人物属性建模","Yes, she is.",,视频内容：Liz在教学过程中总是用巧妙地方式引导并纠正学生学习不同的网球动作。——>推理：Liz是一个善于引导学生的老师。,,,,,,,,,,
,,,,4,What did Liz and Elizabeth after teaching ？,多跳推理,They had long rallies of tennis.,,模型需要定位到与训练结束相关的片段，然后结合前后内容进行分析。,,,,,,,,,,
,,,,5,Why is it important to extend your arm forward when playing tennis?,通用知识推理,Creating space when turing helps avoid overrunning the ball.,教练要求网球初学者尽量伸展手臂，是为了帮助他们在转身击球时创造足够的空间，避免身体过度接近球，从而提高击球的稳定性和准确性。,视频内容：在练习过程中Liz教练一直要求Elizebeth将手臂尽可能地向前伸，因为保持胳膊伸长可以保证转身时有足够的空间而不会超过球。——>推理：打网球时手臂尽量向前伸是为了转身时有足够的空间。,,,,,,,,,,
17,https://www.youtube.com/watch?v=vk6uZ_tsfqw,24:41,vlog - 宠物,1,"Before adopting the new puppy, how many items did the blogger purchase for it in the shopping mall?","多线索推理,多跳推理,多模态/多语言推理",Two,,视频开始博主说自己很快会得到一个公主（一只小母狗），后面又提到这是她的第一个玩具，后面博主又给新小狗挑了一件南瓜衣,,,,,,,,,,
,,,,2,What kind of pet does the bloggers like?,"多线索推理,人物属性建模",Dog,,博主一直在夸狗可爱，即使有了一只狗。还养一只，并且为新的小狗的到来感到欢喜，,,,,,,,,,,
,,,,3,How long in advance does Tesco usually bring out new Christmas items?,通用知识推理,Two months,乐购至少提前两个月上新圣诞物品,女博主在乐购说现在是十月，她在圣诞活动的过道上，而圣诞节在12月，可以推断出,,,,,,,,,,
,,,,4,What is the relationship between the two bloggers?,人物属性建模,Couple,,女博主说自己是狗妈妈，男博主是狗爸爸，可推断出二人为夫妻关系,,,,,,,,,,
,,,,5,What brand is Lily's Kitchen？,通用知识推理,Pet food brand,Lily's Kitchen是宠物食品品牌,定位到博主给狗狗准备食物的片段，她说“狗狗的第一顿晚餐时间她们都得到了Lily's Kitchen”，可推断出,,,,,,,,,,
18,https://www.youtube.com/watch?v=mWz4xVOVDNI,21:13,vlog - 亲子,1,What should be done after feeding a baby milk?,"多线索推理,通用知识推理",Pat the baby to make him burp to expel the air,给婴儿喂完奶后要给婴儿拍嗝,Dallin喂完婴儿后女博主说他需要给婴儿拍嗝，Bella喂完婴儿后给其拍嗝时说到它们肚子里有很多空气，可以推断出,,,,,,,,,,
,,,,2,What is Bella better at when it comes to taking care of babies?,"人物属性建模,多模态/多语言推理",Breastfeeding,,视频里的男婴被Dallin抱着的时候不肯吃奶，被Bella抱着的时候成功地喝了奶瓶里的奶，后面Dallin也承认Bella比他擅长喂奶，可推断出,,,,,,,,,,
,,,,3,Under what circumstances will a baby sleep more comfortably when it is swaddled or not? ,通用知识推理,When it is swaddled.,婴儿被包裹起来会睡得更舒服,博主在两个婴儿睡觉前把他们的身体紧紧地包裹起来了，这样婴儿的手就不能乱动了，还对婴儿说你被包裹住了，你会睡得好睡得舒适，可推断出,,,,,,,,,,
,,,,4,Does Dallin have the patience towards babies?,"多线索推理,人物属性建模",Yes,,试听结合确认Dallin身份，即使不是自己的孩子还是耐心照顾两个婴儿，并且几乎全程保持轻晃防止婴儿难受，没有表现一点不耐烦,,,,,,,,,,
,,,,5,What did Bella do after wrapping the baby?,多跳推理,Fed the baby with a pacifier,,试听结合确认Bella身份，定位到包裹婴儿的片段，跟踪行为可得出答案,,,,,,,,,,
19,https://www.youtube.com/watch?v=dSZ2NBGcFlQ,20:52,测评 - 食品,1,What should be applied on the hands to prevent the glutinous rice flour from sticking to them?,通用知识推理,Boiled egg yolk,在手上涂煮熟的蛋黄可以防止糯米黏手,定位到将糯米团分成小份的片段，博主提到“为了防止捣碎的米饭（糯米团）粘到手指上，她们在手上涂煮熟的蛋黄”，可推断出,,,,,,,,,,
,,,,2,Where did pounding rice originate?,通用知识推理,China,舂米起源于中国,定位到博主介绍舂米的片段，他提到“事实证明，舂米不是在日本或越南发明的，它起源于古代中国”，可推断出,,,,,,,,,,
