视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,5,Do the people in the last group surveyed by the host on the street share the same religious belief? ,人物属性建模,No,,从视频视觉信息得出，一个女性穿着伊斯兰面纱，而另一个印度裔女性没有判断，一个信仰伊斯兰教，另一个可能是印度教，两人不是同一个宗教信仰,,,,,,,,,,
3,https://www.youtube.com/watch?v=j1XTIF3moDk,22:56,访谈 - 动态（含充分视觉信息）,1,"Regarding the issues of human resources management within Bonfire Adventures Company, what kind of leadership style did they demonstrate? ","多线索推理,人物属性建模",They demonstrated a leadership style that is both strict and caring. ,,一方面，他们对员工有着明确的要求和严格的标准。例如，给员工设定目标，并期望他们能达到零客户投诉，创始人会强调工作的严肃性和责任另一方面，他们也有关怀员工的表现。虽然工作要求高，但他们也会给予员工很好的奖励，认可员工的努力，这表明他们并非只强调任务，也注重员工的付出和回报，希望能激励员工更好地工作。,,,,,,,,,,
,,,,2,What kind of feelings do the two founders of Bonfire Adventures Company have with each other? ,人物属性建模,Mutual trust and respect,,在公司决策过程中，面对意见分歧，他们约 90% 的事情能达成一致，对于剩下 10% 的分歧，彼此会给予对方信任，尊重对方的观点，如 “let's go with his idea” ，即便一方认为某个想法可能导致损失，而另一方坚持时，也会选择 “agree to disagree” ，体现了他们对彼此判断和决策能力的信任，以及对对方意见的尊重。,,,,,,,,,,
,,,,3,What does Bonfire Adventures Company pay the most attention to in its service?,通用知识推理,They attach great importance to the customer experience.,Bonfire Adventures Company注重客户体验,在给客户提供旅游套餐之前，公司团队会先亲自去体验该套餐。给客户提供准确正确的信息，保证了服务的可靠性。在面临如疫情这样的重大危机时，公司也尽力照顾好滞留客户。,,,,,,,,,,
,,,,4,What are the characteristics of Millennial employees in terms of work expectations?,通用知识推理,Idealized work expectations,millennial employees idealized work expectations,年轻员工看到公司人员在迪拜等地工作的场景，会认为这份工作充满乐趣，比如认为加入公司后自己的工作就是游玩。但实际工作中，他们需要完成公司设定的目标，如达到零客户投诉等，这表明他们对工作的预期与现实存在差距。,,,,,,,,,,
,,,,5,What challenges has Bonfire Adventures Company faced?,多线索推理,Impact of the pandemic，market instability  and human resources issues,,在公司成立初期，选举后和韦斯特盖特事件导致许多旅游公司倒闭，旅游区域关闭，市场环境不稳定，竞争激烈。疫情导致航班停飞，公司遭受了巨大的经济损失。员工预期与实际工作内容存在偏差，培养合格员工,,,,,,,,,,
4,https://www.youtube.com/watch?v=Rvl4FRGjMtQ,25:45,vlog - 工作,1,Is Chris an optimistic person?,人物属性建模,Yes,,在拆解和修复车辆过程中，当发现车辆有一些意外损伤，如车身一些部位出现了没想到的损坏时，大家情绪可能会受到影响，但是克里斯表示要保持积极态度，,,,,,,,,,,
,,,,2,Does SEMA allow modified cars to participate in the exhibition? ,通用知识推理,Yes,SEMA是一个面向改装车的知名汽车展会,作者对奥迪车进行了改装，还申请SEMA的出展，说明SEMA是面向改装车的,,,,,,,,,,
,,,,3,"After writing down the cost of buying a car on the blackboard, what indicators did the author check?",多跳推理,Odometer reading,,要定位到作者在黑板写买车花费的时间片段，在分析页面观察作者在看什么，通过36000的数字通过单位结合视觉观察仪表盘知道作者在看汽车行驶里程,,,,,,,,,,
,,,,4,Where is the author from?,"多线索推理,人物属性建模,多模态/多语言推理",the United Kingdom,,在介绍SEMA时，作者说距离他来着地方有半个地球那么远，而结合视觉当时地图停在英国/西欧部分，再结合作者计算费用时用的时英镑，CarVertical上的国旗标识可以知道它来自英国，,,,,,,,,,,
,,,,5,Can CarVertical check the ownership changes of vehicles?,通用知识推理,Yes,CarVertical 可以帮助人们查看所有权变更,在作者展示的汽车事件时间轴里有所有权更换信息，CarVertical 提供时间轴，而时间轴有所有权信息，所以CarVertical 可以查看所有权变更,,,,,,,,,,
5,https://www.youtube.com/watch?v=7Dl0TQ5zDzM,32:48,探索 - 参观,1,What raw materials do the local Pygmies use to build their houses?,通用知识推理,Wood and haystacks.,The local people collect wood and cut grass.,结合当地人收集木头，砍草以及他们的房子状态。,,,,,,,,,,
,,,,2,Do the Pygmy tribe usually use knives and forks or other means when having a meal?,"多跳推理,人物属性建模,多模态/多语言推理",They eat directly with their hands.,,首先定位到俾格米部落片段，结合听觉判断他们正在吃饭，视觉观察他们吃饭的方式综合得知。,,,,,,,,,,
,,,,3,Why is tourism in the DR Congo difficult to develop?,通用知识推理,There are high safety risks and strict controls on tourists.,"Tourists need armed escorts to enter the rainforest, and there are risks of being surrounded and having things stolen in the market.",DR Congo的签证被称为最难获取的签证之一，游客需武装护卫进入雨林，市场中有被围观、偷窃风险。,,,,,,,,,,
,,,,4,Does Kaneto have a legal background?,人物属性建模,Yes.,,Kaneto作为酋长，为了更好照顾大家，进行过法律培训。,,,,,,,,,,
,,,,5,What kind of profession might Obed be engaged in?,"多线索推理,人物属性建模",A local professional guide in the DR Congo.,,Obed熟悉DR Congo文化与安全事务，精通当地语言与英语，帮助Drew安排签证、应对边境混乱、雇佣武装护卫，带领 Drew绕道大猩猩保护区，并熟悉当地生态与人文冲突。,,,,,,,,,,
6,https://youtu.be/oc-b4T7H-gM?si=p8YS4l5U93kLDDJw,25:36,vlog - 工作,1,How can we release the desserts from the tray easily?,通用知识推理,We can use the culinary torch to heat the bottom of the tray.,"Heating the tray reduces the stickiness between the dessert and the tray, making it easier to remove it without deforming or damaging it.",模型需要先定位到问题中所描述的片段，然后结合画面内容(Jessica加热托盘后面包就自主脱落了）回答问题。,,,,,,,,,,
,,,,2,Who is the target customer of this coffee shop?,"多线索推理,通用知识推理",The office workers and coffee enthusiants.,"This coffee shop opens from 7:30 AM until around 1 or 2 AM, catering to different customer groups throughout the day and night.",模型需要综合这家咖啡店的经营状况进行分析，咖啡店开门很早（为早起上班的人提供早饭和提神醒脑的咖啡）、制作大量的面包和甜点（为有需要的人或爱好者提供下午茶、甜点）、营业到夜晚（为需要交流的人提供场所、为下班后的人提供缓解压力的食物），从而判断这一场所的目标客户。,,,,,,,,,,
,,,,3,Is the relationship between Jessica and Ben intimate?,"多线索推理,人物属性建模,多模态/多语言推理","Yes,it is.",,模型需要综合目标对象一起出现的所有画面进行分析动作、行为和对话（Jessica送Ben来上班/Jessica并不在这里工作但她来帮忙/Jessica和Ben互相帮忙穿围裙/视频结尾两人的拥抱互动）,,,,,,,,,,
,,,,4,Is Jessica a lively person ?,"多跳推理,人物属性建模","Yes,she is.",,模型需要先定位到Jessica跳舞的片段，然后根据视频画面（Jessica在咖啡店的后厨用面团跳舞）判断出她是一个什么样的人,,,,,,,,,,
,,,,5,Why Jessica sliced the potatoes into thin chips?,多线索推理,Because thin potatoes chips could be rolled up with dough easily.,,模型需要定位所有土豆片出现的片段并综合分析土豆片的作用。,,,,,,,,,,
7,https://www.youtube.com/watch?v=6Unxpxy-Ct4,28:55,vlog - 日常（综合）,1,How should the position of the knife be set to quickly and nicely slice scallions into shreds? ,通用知识推理,Don't let the blade be higher than fingers.,"Align the scallions, use your fingers as a guide, and don't let the blade be higher than your fingers. ",首先爸爸自己演示了怎么切葱丝，有一把好刀，将葱对齐，手指做指引，不要让刀刃高于手指，之后爸爸对Lucas切葱进行指导，强调了刀的位置，Lucas切了两次取得进步。,,,,,,,,,,
,,,,2,Is Lucas good at cooking?,"多线索推理,人物属性建模",No.,,Lucas在烹饪方面不太熟练，比如切葱时角度不对，不太会操作，但经过指导后有了进步，由此可以得出。,,,,,,,,,,
,,,,3,What method does the family use to divide the work when deciding what food each person is responsible for cooking?,"多跳推理,多模态/多语言推理",Write auspicious words and put them into hat for drawing lots.,,先定位到准备做饭的阶段，结合视觉听觉姐弟三人写吉祥话并放入帽子中抽签，决定各自负责烹饪的食物，有鱼、虾、鸡肉、面条、饺子和橙子等可以得出。,,,,,,,,,,
,,,,4,What are the characteristics of Chinese traditional New Year food culture in terms of ingredient selection?,通用知识推理,It places great emphasis on the symbolic meaning of food.,"The length of the noodles symbolizes the length of your lifespan, and fish also signifies wealth.",视频详细描述了制作鸡肉、鱼、面条等食物的过程，以及对这些食物寓意的解释，如 “对于面条来说，面条的长度象征着你寿命的长度，鱼也意味着财富”“我们做经典的港式鸡肉，干蒸，保留鸡头和鸡脚” 等内容。,,,,,,,,,,
,,,,5,What meaning does Dad think keeping the shrimp head has?,人物属性建模,It means a complete beginning and ending.,,结合父亲在教姐弟三人如何处理虾时的交流可以得知。,,,,,,,,,,
8,https://www.youtube.com/watch?v=F28sbYqrqLU,22:36,纪录片 - 人文,1,What psychological and life difficulties do soldiers who experienced the Bloody Sunday incident face after they retire from the military?,通用知识推理,They may suffer from PTSD and fail to find stable jobs.,"Some soldiers who served in Iraq have suffered from PTSD. Some soldiers, with the arrogant attitude they developed during their military service, find it difficult to integrate into society and feel isolated and lonely. Some soldiers have changed about 50 jobs after retiring from the military.",视频中提到有相当高比例的人出现心理问题，患上PTSD，还有提到退役后与人交流时的态度问题以及没人倾听他们的战争故事，导致他们情绪出现问题，甚至出现砸房子、酗酒等行为，有人退役后换了大约 50 份工作。,,,,,,,,,,
,,,,2,What were the main challenges to the long-term stability of Northern Ireland society in the 1970s?,通用知识推理,The group conflicts left over from history are difficult to resolve.,"The conflicts among different groups stem from historical events such as ""Bloody Sunday"", the improper conduct of the British army, and the attitudes of some political forces towards these events, which have made groups like Catholics feel dissatisfied and angry. ",视频描述了 “血腥星期日” 事件以及天主教徒面临的歧视，还提到英国政府、军队与民众之间的矛盾，如英国首相承认英国军队在血腥星期日那天的行为是错误的，但联合派政治家不接受等，由此得出这样的群体矛盾长期存在，没有得到妥善解决，严重影响了社会的稳定。血腥星期日事件在1972年发生。,,,,,,,,,,
,,,,3,Does Ben Griffin approve of the actions of the army on Bloody Sunday? ,人物属性建模,No.,,Ben认为不应该派那样级别的士兵去控制一场没有武装的和平游行，由此说明他觉得军队在 “血腥星期日” 的行为是不合理、不恰当的。,,,,,,,,,,
,,,,4,"When discussing the current situation of the Bloody Sunday incident, do the victims think that this incident has been properly handled?","多线索推理,多跳推理",No.,,首先定位到血腥星期日事件的如今形势讨论上，视频提到随着许多目击者、受害者家属和伤者相继离世，他们认为自己和其他众多类似事件的受害者都未得到真正的正义，他们希望英国政府被指控犯有战争罪，但政治家们已将此事搁置，他们认为和平进程将他们抛在了后面。,,,,,,,,,,
,,,,5,Is Fiona's attitude towards the army positive or negative?,"多线索推理,人物属性建模",Negative.,,结合Fiona对家被搜查的描述和自己当时的感受可以得知，当时她大概15/16 岁，军队在白天闯入，她和姐姐、母亲都受到影响，她不能回学校，且这种搜查给她带来了很大的心理恐惧，认为军队的行为不合理。,,,,,,,,,,
9,https://www.youtube.com/watch?v=IthMg3hNpPk,32:26,vlog - 旅行,1,Is Kai an extroverted or introverted person?,"多线索推理,人物属性建模",Kai is extroverted.,,Kai喜欢开玩笑，会和陌生人主动打招呼，很热情，主动拥抱粉丝。,,,,,,,,,,
,,,,2,What other industry might Ray be involved in besides going to school?,"多线索推理,人物属性建模,多模态/多语言推理",The field of online content creation or live streaming.,,结合视觉听觉可知Ray拥有专业设备的直播室，经常举起手机记录，以及积极参与国际和跨文化交流，说明Ray在学习之余很可能参与在线内容创作或直播。,,,,,,,,,,
,,,,3,What characteristics do schools in the United States have more than those in Taiwan?,通用知识推理,US schools emphasize individual freedom and diversity more.,"Students in schools in Taiwan wear unified school uniforms and participate in organized group activities during breaks, which is not the case in schools in New York. ",结合Kai描述台湾学校“like a little Campus”，学生主动组织活动，穿统一的校服，而他对比纽约学校评价为“we don't got in New York”，由此可以判断出台湾学校更注重集体活动和纪律，而美国学校更强调个人自由和多样性。,,,,,,,,,,
,,,,4,Is Taiwan's food culture unique with local characteristics or diversified integration? ,"多模态/多语言推理,通用知识推理",It's diversified integration.,"Kai mentioned Taiwanese delicacies and dining scenes several times, such as family dinners and street snacks. ",视频中多次出现了台湾饮食相关的片段，结合视觉听觉以及街头小吃，如brownie/ramen，Ray妈妈的家庭料理可以看出台湾饮食是融合多元风味的。,,,,,,,,,,
,,,,5,"During the 1v1 basketball confrontation on the court, who, Kai or Ray, broke through the other's defense and scored a goal?","多跳推理,多模态/多语言推理",Neither of them did.,,首先定位到篮球场上Kai和Ray1v1对抗片段，结合视觉听觉判断他们两人都没有在对方防守下进球。,,,,,,,,,,
10,https://www.youtube.com/watch?v=CUBciV4iPzs,21:44,教学 - 烹饪,1,Does “Baking with Blippi” have the significance of English enlightenment?,通用知识推理,Yes.,“Baking with Blippi”这个节目具有英文启蒙意义，体现在：能丰富词汇积累，在烘焙场景中介绍如面粉、糖、烤箱、打蛋器等工具和食材的英文单词；可强化口语表达，其语言生活化、口语化，且关键语句重复，利于孩子模仿记忆；还能营造情景代入感，激发孩子学习英语的兴趣。,通过观察视频的各个环节blippi介绍了各种地点、食物等英文名字，由此来看，这是有利于对初学英语者，适宜积累更多的英语词汇。,,,,,,,,,,
,,,,2,What electrical appliances need to be preheated before making delicious food?,多跳推理,Oven.,,通过定位到制作环节，厨师说需要先把烤箱预热到425度，再开始准备制作。由此可以判断出在制作前讲什么预热了。,,,,,,,,,,
,,,,3,Is Chef Ryan patient during the teaching process?,"多线索推理,人物属性建模",Yes.,,通过定位到到视频教学片段片段，如莱恩厨师讲在正式制作前需要将烤箱预热、以及在教学过程耐心的演示及其解释等，由此可见莱恩厨师在教学时是充满耐心的。,,,,,,,,,,
,,,,4,Is Blippi a person full of vitality and enthusiasm?,人物属性建模,Yes.,,通过观察视频里blippi的表情、动作、说话等，能很明显的观察到blippi总是以极高的热情投入到活动中，比如搅拌鸡蛋等，由此可以推断出blippi是一个充满热情的人,,,,,,,,,,
,,,,5,Who is the most suitable audience for “Baking with Blippi？,通用知识推理,Young children.,“Baking with Blippi”这类视频最适合2 - 6岁低龄儿童，原因有：契合认知发展，满足探索欲；利于语言学习，丰富词汇；符合注意力特点，吸引并保持兴趣；能启蒙生活技能，培养自理和动手能力。,通过观察视频内容，主要围绕着厨房烹饪这一主题，介绍了各个环节的单词如鸡蛋egg、烤箱oven等简单的基本英语词汇，并且还强调在厨房里要注意生肉后要洗手等基本厨房认知。由此可以判断出，该视频主要针对的是低龄儿童。,,,,,,,,,,
11,https://www.youtube.com/watch?v=PnvZZwlN2yk,29:04,综艺 - 游戏,1,Is Stewart Thompson a person who pursues a high-quality life?,"多线索推理,人物属性建模",Yes.,,从Stewart讲述自己旅行方式倾向于商务舱可以判断。,,,,,,,,,,
,,,,2,What decade of age is J.F. Harris approximately in?,"多线索推理,人物属性建模",He is approximately in his forties.,,J.F. Harris提到过自己2003年曾经在芝加哥，后来又说20岁左右在芝加哥，综合推理得知现在J.F. Harris现在大概四十多岁。,,,,,,,,,,
,,,,3,Who had a different opinion from the others when voting out the person who was not a millionaire in the first round?,"多跳推理,多模态/多语言推理",Aaron.,,首先需要定位到第一轮投票这个片段，再结合视觉听觉对五个人的发言判断。,,,,,,,,,,
,,,,4,What economic conditions do the families of children who have a trust fund usually come from?,通用知识推理,The family possesses substantial family wealth.,"Tori claimed that she had a trust fund and still worked hard, but she was suspected of not being a millionaire. ",Tori称自己有trust fund，并且拥有自己的事业努力工作，其中一位主持人不相信，表示自己没见过有trust fund的孩子还努力工作的，说明拥有trust fund的孩子的家庭一般都拥有巨大财富。,,,,,,,,,,
,,,,5,Is Ralph's a chain grocery store or an individually-operated grocery store? ,通用知识推理,A chain grocery store.,Tori said that she liked going to Ralph's because it could be found everywhere. ,在主持人问Tori平常多久去一次grocery花费多少钱的时候，Tori说自己喜欢去Ralph's，因为它到处都有，配送费很高，说明Ralph's是一家连锁超市。,,,,,,,,,,
12,https://www.youtube.com/watch?v=n-B_kmAebbQ,27:19,纪录片 - 人文,1,What course does Mr. Johnson teach?,"多线索推理,人物属性建模",Math.,,定位Johnson这个人物，并结合他向学生提出的问题得知。,,,,,,,,,,
,,,,2,What art activities does Crystal like?,"人物属性建模,多模态/多语言推理",She likes painting.,,结合听觉Craystal与老师之间的交流以及视觉信息判断她经常画画。,,,,,,,,,,
,,,,3,What are the most likely causes of emotional disorders in adolescents?,通用知识推理,The misfortune in the family of origin.,"Crystal's mother believes that her daughter's extreme behavior is due to the school's failure to fulfill its responsibilities. Cortez’s father is in prison, his mother didn't provide him with the medications needed for treatment, and his brother and sister were killed.",Crystal的母亲认为女儿做出极端的行为是因为学校不作为，Cortez的父亲在监狱，母亲没有给他治疗的药物，兄弟姐妹被杀，他们都缺失了家庭的关心。,,,,,,,,,,
,,,,4,"Compared with teachers in ordinary schools, in what aspects do teachers working at Montefiore have stronger capabilities?",通用知识推理,They need to be more patient when dealing with students.,"The math teacher had a noisy classroom during the class, the biology teacher was frequently interrupted while teaching, and the PE teacher was constantly giving encouragement and support to the students.",结合数学老师、体育老师、生物老师的上课时的场景以及其他老师包括公交车司机的语言态度综合得知。,,,,,,,,,,
,,,,5,What is the teacher's attitude towards students when teaching in the gymnasium?,多跳推理,The teacher is constantly encouraging and supporting the students.,,需要先定位到体育馆这个场景，再结合老师和学生的交流得知。,,,,,,,,,,
13,https://www.youtube.com/watch?v=GTIjylkB-TI,24:57,vlog - 派对,1,How many children does Alan have?,"人物属性建模,多模态/多语言推理","Two children, including a son and a daughter.",,结合听觉Alan说要去接儿子放学以及视觉骑车座位前有一个女孩。,,,,,,,,,,
,,,,2,Which country might Staffan come from?,"多线索推理,人物属性建模",Sweden.,,有人问Staffan瑞典语的你好怎么说以及他购物的地方也有瑞典语你好的标志。,,,,,,,,,,
,,,,3,What was Richard's attitude towards it when Staffan expressed his intention to borrow a stranger's house to hold a party?,多跳推理,"Richard refused, but he was very willing to attend this party.",,先定位到staffan找陌生人借房子的片段，再分析Richard说的话可以得知。Richard的名字也是在后面参加party时得知的。,,,,,,,,,,
,,,,4,What is the theme expressed in the book Talk to Strangers? ,通用知识推理,"Encourage people to say ""yes"" to the unknown bravely.",The new book《Talk To Strangers》,结合“yes Theory” 的理念和Thomas他们举办派对的具体行为及结果，以及多次对他们的新书的介绍可以综合得出。,,,,,,,,,,
,,,,5,Who is the author of the book Talk To Strangers? ,通用知识推理,Matt.,Matt spent three years finishing this book.,结合Matt的自述，他说自己和其他朋友8年前创建了Yes Theory这个频道，他耗时三年完成了这本书。,,,,,,,,,,
14,https://www.youtube.com/watch?v=jvUX3ocBSCk,29:57,综艺 - 游戏,1,How often is the Biggest Trick Shot Contest held?,通用知识推理,Once a year.,"The phrase ""See you in 2026"" was mentioned several times in the post-game interview.",两次在和被淘汰的选手交流中有提到2026再见，由此可以推测出是一年一次。,,,,,,,,,,
,,,,2,Who threw the disc successfully for That's Amazing in the first round?,"多跳推理,多模态/多语言推理",Tommy.,,需要定位到第一轮，并追踪到That's Amazing是哪些成员，再回去结合视觉听觉判断具体是谁投中光盘。,,,,,,,,,,
,,,,3,What is Brodie Smith's main skill?,人物属性建模,Frisbee trick shots.,,通过Brodie Smith提到自己做飞盘技巧投篮超过十年可以得出。,,,,,,,,,,
,,,,4,Is Brodie Smith a person with a strong desire to win?,"多线索推理,人物属性建模",Yes.,,Brodie Smith在比赛中反复提到找回状态，而且对Tyler打破世界纪录耿耿于怀可以推测得出。,,,,,,,,,,
,,,,5,What strategies can be adopted to reduce the risk of being eliminated in the bullseye challenge of the Biggest Trick Shot Contest?,通用知识推理,Give priority to finding ways to obtain a guaranteed minimum score.,"The team of ""That'll"" takes the lead in hitting the bullseye at the closest distance to ensure that the score is not zero and won't be eliminated. ",That'll率先投中最近距离的把心保证成绩不为0不会被淘汰，而That's Amazing没有想到这个策略最终被淘汰。,,,,,,,,,,
15,https://www.youtube.com/watch?v=UPk8fzT4t8o,20:27,探索 - 体验新事物,1,Is the American people's national identity as a whole unified or a diverse integration with certain differences? ,通用知识推理,It's a diverse integration with certain differences.,"Texans attach importance to both the American flag and the flag of Texas, and people in Hawaii are more loyal to the flag of Hawaii.",美国不同地区人群对国旗的态度存在差异，德州人既重视美国国旗也重视德州旗，夏威夷人更忠诚于夏威夷旗，可以看出美国不同地区在对国家认同上存在多样性，受到地方文化等因素影响。,,,,,,,,,,
,,,,2,How might the social development of children living in military families be affected?,通用知识推理,They may face challenges in building long-term friendships.,"Mattis has lived in five places, and his father, Nick, has had a similar experience.",视频中提到Mattis和Nick搬家次数较多，由此可以推断出对于他们这样军事家庭中的孩子而言建立和维持长期的友谊是比较困难的。,,,,,,,,,,
,,,,3,Does Nick have leadership skills?,"多线索推理,人物属性建模",Yes.,,Nick 在 19 岁时就被赋予指挥 8 名海军陆战队员、操作百万美元装备的重任。,,,,,,,,,,
,,,,4,What kind of books does Nick like to read?,人物属性建模,Nick likes comic books.,,结合Nick收藏了很多漫画书可以推测。,,,,,,,,,,
,,,,5,What was the breakfast like on the second day when Markian came to Nick's house? ,"多跳推理,多模态/多语言推理",It looked unappetizing and did't taste good.,,首先定位到吃早餐这个片段，结合视觉早餐的样子听觉Markian的评价综合得知。,,,,,,,,,,
16,https://www.youtube.com/watch?v=oRapwDWgElQ&list=TLPQMjgwMjIwMjUx-qOxeSqADQ&index=2,25:58,教学 - 运动,1,"Does Jack think that in rock climbing, is technique more important or strength more important?","多线索推理,人物属性建模",Technique.,,Jack 反复纠正学员的动作细节，并且强调技术的重要性，担心学员的安全，综合可以看出Jack对于攀岩的理解,,,,,,,,,,
,,,,2,Where is Magnus from？,"人物属性建模,多模态/多语言推理",Finland.,,视频开头Johanes提到自己来自芬兰，且过程中有提到芬兰的天气，他的芬兰生活背景，最后承认自己的真实名字是Magnus。模型需要结合视觉听觉判断Magnus和Johanes是同一个人。,,,,,,,,,,
,,,,3,What actions can be taken to reduce the risk of injury when landing in rock climbing?,通用知识推理,Use a roll to cushion the landing.,Johanes used the landing cushioning movements of parkour when he landed during rock climbing. ,Johanes攀岩落地时使用跑酷的落地缓冲动作可以增强自我保护能力，降低受伤风险。,,,,,,,,,,
,,,,4,"When explaining the figure four technique, what methods did Johanes use to help the students understand it more easily?",多跳推理,Johanes quoted a Finnish proverb to help with the understanding.,,"首先定位到figure four相关片段，Johanes引用芬兰谚语“if the ants have legs, use them”，并将其与攀岩策略联系起来，在攀岩中要像蚂蚁利用腿一样利用身体的条件，由此可以得出。",,,,,,,,,,
,,,,5,Where is the location of the 9 degrees boulder gym?,通用知识推理,"The gym is located in Sydney, Australia.","Magnus mentioned that he was from Finland, and he was just on a short-term visit. He trained at the local rock climbing gym and didn't have many friends in Sydney.",Johanes提到他住在芬兰，但这次是来访问的，并在当地攀岩馆训练以保持体能，所以他可能在芬兰以外的地方攀岩。Johanes提到在悉尼没有很多朋友。综合可以推测出攀岩馆在悉尼。,,,,,,,,,,
17,https://www.youtube.com/watch?v=8gmxrVMQUb0,24:30,纪录片 - 人文,1,Is Vickie Smith good at handicrafts?,"多线索推理,人物属性建模",Yes.,,结合Vickie用路毙动物制作物品、自制礼物等可以看出。,,,,,,,,,,
,,,,2,Does Alex approve of his mother Kia's behavior of saving money?,人物属性建模,No.,,从Alex两次提到他对于母亲一些极端的行为的吐槽和不理解可以得出。,,,,,,,,,,
,,,,3,How to recycle a broken small refrigerator so that it can still keep food cool?,通用知识推理,Bury it underground in a shady place to store food cool.,"Melody buried the broken small refrigerator underground, which can be used to store some food. ",Melody的小型冷冻箱坏了，她将其埋在地下，可以存放一些食物，如果外面气温高达100华氏度需要它放在阴凉处，地下能让它内部保持在大约 55 华氏度，没洗过的鸡蛋大概能在里面保存一个月甚至更久。,,,,,,,,,,
,,,,4,What are the utilizable values of fresh roadkill?,通用知识推理,"Its fur for ornaments, meat for food.","Vickie made barbecued meat with roadkill rabbits, and used their fur for ornaments. ",Vickie用路毙兔子的毛皮为小孩和邻居制作装饰品，在和邻居吃饭时的兔子肉也是来自于路毙兔子。,,,,,,,,,,
,,,,5,What kind of attitude did most people show towards the many restrictions set by Kia for renting out the room?,"多线索推理,多跳推理",Most people thought that it was hard to accept.,,首先定位到Kia想要出租儿子房间的片段，结合前后三个租客不同的态度可以得出其中两位是不能接受的，仅第三位能够接受这种行为。,,,,,,,,,,
18,https://www.youtube.com/watch?v=6amK2BgjXk8,27:43,探索 - 参观,1,Does Coco show a positive or negative attitude towards her current living situation?,"多线索推理,人物属性建模",Positive.,,结合Coco愿意分享自己的生活状态可以看出她是很积极的人。,,,,,,,,,,
,,,,2,Does Coco's appearance match her actual age?,"人物属性建模,多模态/多语言推理",No.,,结合视觉听觉综合判断，拍摄者对于Coco已经70岁了表示惊讶。,,,,,,,,,,
,,,,3,Why is the supply of public housing scarce in Hong Kong?,通用知识推理,The government places more emphasis on commercial development.,"As Hong Kong urbanized and developed its economy, informal settlements were clear to make room for high-rise buildings.",视频中提到随着城市化和经济发展，非正式居住区域被清理用来建设高楼大厦，但政府对商业开发的侧重导致保障性住房短缺，由此可以看出。,,,,,,,,,,
