视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
,,,,3,What if people go to Hoka without socks but want to try on shoes?,通用知识推理,Hoka will provide disposable socks.,Maggie去试鞋前说自己没穿袜子不知道该怎么办，但在试鞋的时候服务员递过来一个盒子，可以看到Maggie在试鞋的时候穿上了一次性袜子,模型需要根据Maggie试鞋前后的片段，并找到她穿一次性袜子的片段推理出答案。,,,,,,,,,,
,,,,4,Is Woo Jung a popular restaurant?,通用知识推理,Yes.,Maggie去餐厅吃饭前说这个餐厅很正宗，在坐到位置上前说还好她们只等了半个多小时，结合画面可以看到餐厅人非常多。,模型需要找到视频中对餐厅画面和主人公Maggie的描述来推理出答案。,,,,,,,,,,
,,,,5,Where did Maggie go after she went to the House of cb?,多跳推理,Uniqlo.,,模型需要先定位到house of cb，在找到之后的片段得出答案。,,,,,,,,,,
4,https://www.youtube.com/watch?v=kr-7-j9bAm8,27:46,测评 - 生活用品,1,What's the color of the Polka ballpoint pen?,多模态/多语言推理,Orange,,定位到博主介绍的第二支圆珠笔，没有提颜色，但能看清是橘黄色的,,,,,,,,,,
,,,,2,"Different wirting devices don't have any affection on your mind, right?",通用知识推理,No,不同的笔使用起来感觉大不相同，有的艰涩，有的顺滑，不仅会影响你的心情，也会让你产生不一样的想法。正如咨询师和作家大卫·艾伦所说的，人受环境和物件的影响很大,定位到博主介绍第三支绿色圆珠笔的片段，他引用了某个名人的话，来表达使用流畅顺滑的书写工具，你的想法都会不一样,,,,,,,,,,
,,,,3,Does Chase like thin pens?,人物属性建模,No,,定位到博主拆开绿色圆珠笔的片段，提到了笔芯非常流畅，但是笔管写起来太累，对他来说太细了。而且在介绍黄色的、更细的圆珠笔时表情纠结，他真的不喜欢太细的笔,,,,,,,,,,
,,,,4,Which ballpoint pens have transparent body?,"多线索推理,多模态/多语言推理",Z Grip of Zebra and the one from Muji.,,定位到介绍Zebra牌圆珠笔的片段，博主着重说了这个笔可以看见油墨余量，但没直接说它是透明的。介绍下一支无印良品的时候也没提它的笔管透明，但视频里可以清晰看到。,,,,,,,,,,
,,,,5,How many cheap rollerballs did Chase introduce in this video?,"多线索推理,多模态/多语言推理",Six,,定位到介绍相对便宜的圆珠笔片段，整体用时比较短，需要仔细计数，也可以在俯拍全部便宜圆珠笔的镜头看到，一共有六支,,,,,,,,,,
,,,,6,What did Chase introduce right after the Micron 01?,多跳推理,A Sharpie pen.,,定位到介绍Micron 01片段，紧接着介绍的是Sharpie牌子的笔,,,,,,,,,,
,,,,7,Is Chase a right-handed or left-handed person?,"人物属性建模,多模态/多语言推理",Right-handed person.,,定位到每一个博主书写的片段，无一例外都是用的右手，可推断出他是个惯用右手的人,,,,,,,,,,
,,,,8,What problems are common with fountain pens?,通用知识推理,Durability and reliability.,不像之前介绍圆珠笔的时候，专注于替芯、笔管和笔夹等，博主介绍自来水笔的时候率先提到了笔尖的问题，可见自来水笔的耐用性很重要，出问题比较普遍。,定位到博主介绍Lamy自来水笔的片段，博主提到了他比较担心这款笔的耐用性问题。,,,,,,,,,,
5,https://www.youtube.com/watch?v=B18LIIpNx8E,27:24,vlog - 宠物,1,Is the blogger afraid of rats?,人物属性建模,Yes.,,视频中博主在垃圾桶里翻找箱子的时候，翻到了一个里面有老鼠的箱子，这时博主惊呼着把箱子扔了出去，嘴里说着oh my god，脸上的表情也十分惊恐，可推测出博主十分害怕老鼠,,,,,,,,,,
,,,,2,What type of sponsorship does the blogger mention in the video?,"多跳推理,多模态/多语言推理",Mobile fishing game promotion.,,"视频中插入的广告内容明确提到""Fishing Clash is the sponsor""，并通过展示游戏画面和下载引导（如""scan the QR code""）表明是手游推广，而非实体商品或线下活动赞助。",,,,,,,,,,
,,,,3,Why might pet stores discard live animals in dumpsters?,"多线索推理,通用知识推理",Healthy issues.,"视频中多次发现被丢弃的动物存在明显健康问题（如鱼""missing eyes""、鱼鳃发红疑似氨中毒），结合主角推测""stores throw away sick/deformed animals""，推断这是商业场所为减少损失采取的极端处理方式。",模型应该根据视频中被丢弃动物存在明显的健康问题，再结合主角的语言推测出这些动物是因为健康问题被偷了。,,,,,,,,,,
,,,,4,What determines survival time for discarded aquatic animals?,通用知识推理,Oxygen levels in sealed bags.,"视频中鱼类的存活依赖密封袋内残余氧气（如提到""running out of oxygen""时鱼濒死），而爬行动物（如蛇）存活则与温度更相关。该问题需结合生物学知识（鱼类呼吸方式）和视频中具体情境（袋装活鱼）推理。",视频中可以看看到装鱼的袋子中都是充了气的，且视频中有提到有些鱼是缺氧而死，所以鱼的存活时间取决于里面氧气的含量。,,,,,,,,,,
,,,,5,How are sick rescued animals treated post-rescue?,"多线索推理,多模态/多语言推理",Isolation and medication application.,,"视频中主角多次将患病动物隔离（如将攻击性鱼类单独存放），并明确提到""give them medicine later""。虽未展示具体治疗过程，但通过其操作符合动物救治标准流程（隔离防传染+药物治疗）。",,,,,,,,,,
,,,,6,Does the blogger like animals?,人物属性建模,Yes.,,视频中博主救治动物，并且提到他有养过一些小动物，并且他会很多救治小动物的知识，所以可以推导出他是喜欢小动物的。,,,,,,,,,,
6,https://www.youtube.com/watch?v=a7p7b8LyI_c,24:13,测评 - 生活用品,1,Do Brian and Drew study pens a lot?,人物属性建模,Yes.,,视频开头就说了，这两个人是笔呆子，热衷于研究笔,,,,,,,,,,
,,,,2,What letters are engraved on the nip of the TWSBI Eco pen?,多模态/多语言推理,TWSBI.,,定位到Brian介绍TWSBI初步这款钢笔笔尖的片段，他没说笔尖上刻了什么，能清晰地看到刻有图案和字母TWSBI,,,,,,,,,,
,,,,3,How many colors of the Lamy Safari pen does the video show?,"多线索推理,多模态/多语言推理",Fourteen.,,定位到关于Lamy这款笔的所有片段，计数的时候要区分不同的颜色，也要算上Drew手里的那只笔，虽然Drew说了目前一共有18种颜色，但视频只展示了14种颜色,,,,,,,,,,
,,,,4,Can you know the remianing ink level with Both TWSBI Eco and Lamy Safari?,通用知识推理,Yes.,透明的笔身都能看见墨水余量，非透明的乍一看不具备这个功能，而Lamy的这款Safari专门设计了一个墨水视窗，虽然Brian讽刺Drew的笔只能看见一部分，亲历感不够，但两款笔都能看见墨水余量。,Drew介绍safari的时候说道这款笔有全世界最好的墨水视窗，而TWSBI的笔身就是透明的。,,,,,,,,,,
,,,,5,What did Brian and Drew battle on after notable features?,多跳推理,Operation and use.,,第一轮介绍外观等明显特色，第二轮比较使用体验，需要完整定位第一轮和第二轮battle,,,,,,,,,,
,,,,6,Is Brian more physically active than Drew when introducing the pens?,人物属性建模,No.,,通过对比可以发现，Brian比较依赖演讲稿，而Drew不仅喜欢脱稿，还经常在手上摆弄他要介绍的笔，肢体非常活跃。,,,,,,,,,,
,,,,7,"Which one is cheaper, TWSBI or Safari, if you don't need a converter?",通用知识推理,Lamy Safari.,TWSBI的笔是附赠converter的，而safari的converter需要额外买，如果不需要买converter的话，Lamy更便宜,定位到第三轮介绍价格的片段，一支TWSBI32.99美元，一支Safari单价29.60美元,,,,,,,,,,
7,https://www.youtube.com/watch?v=9tBsMSDoDqk,33:52,综艺 - 表演/选秀,1,"Who will be able to participate in the AGT show, the British or the Americans?","多线索推理,通用知识推理",Both,视频中的五个片段有来自LA的，有来自密歇根州的，也有来自英国的孩子，因此可推测英国人和美国人都可以参加。,模型需定位到五位嘉宾的介绍环节，他们来自很多不同的地方，但是也有英国人，有美国人，因此他们都可以参加AGT。,,,,,,,,,,
,,,,2,How many levels of seating are there in AGT performance hall?,通用知识推理,Two,视频中多次拍摄到演播厅中整个观众席的画面，从画面中可以看到是两层。,模型需要定位到节目拍摄整个观众席的画面，通过观察可以得知有两层。,,,,,,,,,,
,,,,3,Does Bren have empathetic parents?,"人物属性建模,多模态/多语言推理",Yes.,,模型需定位到Bren表演的片段，她说自己受到了Darcy lynn的启发并且向父母表示自己也要去这档节目，镜头拍摄父母的画面中，父母微笑着点了头，为自己的女儿骄傲可知，可知她的父母十分善解人意,,,,,,,,,,
,,,,4,Is Kevin enthusiastic about the performance or is he indifferent?,人物属性建模,Enthusiastic,,模型需定位给到kevin表演魔术的片段，他在整个过程中表现有点紧张，但是他声音洪亮、积极带动全场的氛围，并且从表演的设计可以看出他花了很多心思，评委们让他晋级后更是激动地哭了出来都可以看出他对表演是热爱的。,,,,,,,,,,
,,,,5,Did Kevin guess the content of the photo drawn by the judges?,多模态/多语言推理,Yes,,模型需定位到Kevin变魔术的片段，他让评委抽取一张照片，然后他试着读取照片内容，当他说出答案时，通过观察其他三位评委的表情以及点头的动作、还有观众震惊的表情都可以判断出，他的答案是正确的。,,,,,,,,,,
8,https://www.youtube.com/watch?v=PF4XAuZEMok,46:12,纪录片 - 自然,1,How many years has the man-made boder wall in Scotland been in history since its construction?,通用知识推理,More than 82 years.,视频中提到苏格兰的这座人造的boder wall建于1830s，由此可推断距今历史已超过82年了,模型需定位到boder wall相关片段，再有给出的始建信息计算出距今已有多少年的历史，得出答案：已超过82年了,,,,,,,,,,
,,,,2,How many times do sheep in Scotland come to the inland of the island each year?,通用知识推理,Once.,视频中提到苏格兰岛上的羊同样需要剪毛，而它们的“理发”时间一年只有一次，就是他们来到内陆的时候，由此可推断苏格兰岛上的羊一年仅进入内陆地区一次。,视频中提到苏格兰岛上的羊剪毛的频率和条件这两个关键信息，进行整合，得出答案。,,,,,,,,,,
,,,,3,Will the young or old red deer have cruel battles in the beaches of Scotland in each October? ,通用知识推理,Young deer.,视频中提到，每年十月份，沙滩就会变成战场，red deer会在这里争夺它们的breed rights，会通过叫声和打斗赢得雌鹿的青睐，是一场求偶战争，因此可推断参与斗争的会是还没有配偶的年轻red deer.,模型需根据red deer进行斗争的目的来推断出这些red deer的年龄大小。,,,,,,,,,,
,,,,4,Is Jane Hardy a brave girl?,人物属性建模,Yes.,,模型需定位到介绍海豹时说Jane Hardy是一个潜水爱好者，并且她说在面对海豹时会有一点害怕但更多的是开心，从她的爱好和行为可推断出Jane是个勇气十足的人。,,,,,,,,,,
,,,,5,What's the animal does Professor Tim Guilford knows best?,人物属性建模,Seabirds.,,"模型需定位到后期介绍Tim Guilford教授时说他终生都致力于研究海鸟这一物种,因此他最了解的动物就是海鸟。",,,,,,,,,,
,,,,6,How many animals are featured in the documentary?,多线索推理,Fifteen.,,模型需定位到视频全程对于各种动物的介绍，能够总结出来一共介绍了15种动物。,,,,,,,,,,
9,https://www.youtube.com/watch?v=w5vCw3UGw2w,21:17,vlog - 居家,1,What is Andrew's occupation?,人物属性建模,Student.,,"模型需要定位到关于Andrew的相关片段，得知Andrew在大学读书且正在春假（""he's been gone at college for a long time but he's spending his spring break here""），未提及其他职业活动，因此可推断其职业为学生。",,,,,,,,,,
,,,,2,What is the relationship between Ronnie and Andrew?,人物属性建模,Siblings.,,模型需要定位到语言信息Ronnie 称 Andrew 为 “he's been gone at college” 且共同居住在 “ronron house”，互动中体现家庭亲密感（如准备生日惊喜），因此推测其为是姐弟。,,,,,,,,,,
,,,,3,What is Guppy?,多模态/多语言推理,It's a pug,,模型需要定位到视频中Guppy的相关片段，结合视觉信息得知Guppy是一条哈巴狗。,,,,,,,,,,
,,,,4,Can people purchase plush toys in Costco?,通用知识推理,Yes.,视频中博主和朋友来到Costco购物，博主手里拿着一个猩猩的毛绒玩具，随后镜头一转，博主将玩具送给了他的宠物狗，可知在Costco可以买到毛绒玩具。,需定位到Costco片段，再结合视觉信息：博主手里拿着一个猩猩的毛绒玩具，然后将其送给了他的宠物狗，可知在Costco可以买到毛绒玩具。,,,,,,,,,,
,,,,5,"What effort do Youtubers make to get likes, whether it's sharing them with friends or making funny promises?",通用知识推理,Making funny promises.,"视频中通过""拔鼻毛挑战""设置目标（""破千赞拔鼻毛""），利用观众猎奇心理刺激互动，所以可以推理得出youtube用户为了获得点赞会做出有趣的承诺。",模型需要定位到视频中谈及点在两的片段，根据对话可以得出结论youtube用户为了获得点赞会做出有趣的承诺。,,,,,,,,,,
10,https://www.youtube.com/watch?v=gC_L9qAHVJ8,29:11,vlog - 运动,1,What is the relationship between Wade and Angie?,人物属性建模,Married couple.,,"模型需要定位到两人的介绍片段，两人姓氏均为""Mullins""，且共同参与训练并减重，暗示为家庭成员。西方文化中夫妻常共享姓氏，结合共同参与健身计划的互动合理推断为夫妻关系。",,,,,,,,,,
,,,,2,What could Daniel's occupation be?,人物属性建模,Fitness trainer.,,模型需要定位到Daniel的相关片段，他主导训练节奏，给出动作指令（如“get the core tight”“start with the march”）并评价其他参与者表现，十分专业，其职业可能是一名健身教练。,,,,,,,,,,
,,,,3,How many workout moves are there in total?,多线索推理,Eleven.,,模型需要定位到所有的锻炼片段，一一细数得出答案，是一个训练动作。,,,,,,,,,,
,,,,4,"Which workout should new exercisers choose, low-impact standing workouts or machines workouts?",通用知识推理,Low-impact standing workouts.,视频中的语言信息强调“ideal for new exercises and people returning to exercise”，指向低冲击站立训练的目标人群为新手或恢复锻炼者，所以推理得出结论新手应该选择低强度站立锻炼。,模型需要定位到相关的语言信息，“ideal for new exercises and people returning to exercise”，指向低冲击站立训练的目标人群为新手或恢复锻炼者，所以推理得出结论新手应该选择低强度站立锻炼。,,,,,,,,,,
,,,,5,Is equipment mandatory for the demonstrated exercises?,通用知识推理,No.,视频中所有动作被描述为“all standing”且“low impact”，Angie使用哑铃为可选（“you can have weights with you”），说明器械非强制，由此可以推理得知示范演习不是必须要配备设备。,模型需要定位到视频中的动作以及Angie所说的话，使用哑铃为可选（“you can have weights with you”），说明器械非强制，由此可以推理得知示范演习不是必须要配备设备。,,,,,,,,,,
11,https://www.youtube.com/watch?v=mVT9ptIARfc,20:49,vlog - 亲子,1,What's Sienna's relationship with Paul?,人物属性建模,They're siblings.,,模型需要定位到Sienna和Paul是谁，得知都是博主的孩子，所以得出结论他们是姐弟。,,,,,,,,,,
,,,,2,Does Darren like the color gray?,"人物属性建模,多模态/多语言推理",Yes.,,模型需要定位到Darren的相关片段，根据语言信息确定谁是Darren，再根据他换上灰色衣服的表情和行为，得知他喜欢灰色。,,,,,,,,,,
,,,,3,Where do Family Fizz go after they change their clothes?,多跳推理,They go to the garage.,,模型需要定位到视频中他们换衣服的画面，然后定位到他们的位置，得知他们在地下车库。,,,,,,,,,,
,,,,4,What is Rags to Riches?,通用知识推理,An organization that donates clothing to people in war-torn countries.,"视频中提到捐赠衣物给""Rags to Riches""，并说明该组织将衣物提供给""people in war-torn countries""，所以可以推断出 Rags to Riches是一个向战乱国家的人们捐赠衣物的组织。","模型需要定位到视频中谈及关于 Rags to Riches的片段，博主提到将捐赠衣物给 Rags to Riches，并说明该组织将衣物提供给""people in war-torn countries""，由此可以推理得出结论。",,,,,,,,,,
,,,,5,"What do people choose their favorite colors based on, preference or demand?","多线索推理,通用知识推理",Demand.,视频中Mia 选择蓝色因认为其显气色（“flattering”）， Darren 选择黑色可能因其显瘦或百搭。所以可以得出结论，人们选择他们最喜欢的颜色是基于需求。,模型需要定位到视频中博主和他的家人们选择颜色的片段，根据他们的对话信息可以得出结论人们选择他们最喜欢的颜色是基于需求。,,,,,,,,,,
12,https://www.youtube.com/watch?v=3Z_EZVJLKeI,32:06,纪录片-历史纪实,1,Is the pilgrimage site in Mecca circular or polygonal?,通用知识推理,Polygonal.,穆斯林都渴望到mecca的黑石处朝圣，视频中拍摄到了mecca的俯视视角，看得出是一个多边形，并不是规则的圆形。,模型需定位给到视频讲述mecca穆斯林历史的片段，有多个mecca朝圣地的俯视视角，通过观察可以发现并不是规则的圆形，而是多边形。,,,,,,,,,,
,,,,2,Is there a security system during the Mecca pilgrimage?,通用知识推理,Yes.,视频中有一幕展示了一张图片，照片中保安拿着枪枝在人群中维持秩序，所以可以推测政府意识到过多的人朝圣会有安全隐患，因此安排了安保人员维持现场秩序。,模型需定位到视频中讲述穆斯林试图亲吻黑石来朝圣的片段，片段中，有一张图片拍摄到了拥挤的穆斯林以及一位安保人员拿着枪支维持秩序，因此现场有安保系统。,,,,,,,,,,
,,,,3,Is Sarah Wenham a timid woman or a brave one?,人物属性建模,Brave woman.,,模型需定位到视频讲述发现了巨人的遗骸的片段，考古学家发现了红发巨人的踪迹，并且合理解释了Sarah曾把这些红色的头发编织成衣服穿在身上，由此可以看出Sarah不是一个胆小的人，而是一个勇猛的女人。,,,,,,,,,,
,,,,4,Is Gugh a rigorous scholar or an impractical one?,"多线索推理,人物属性建模",rigorous.,,模型需定位到Gugh讲话的多个片段，片段中他的用词会使用could maybe等程度用词，并且每次讲到历史时会区分传说和真实发生的故事，因此可以看出他是一位严谨的学者。,,,,,,,,,,
,,,,5,What three colors make up the Thunderbird painting?,多模态/多语言推理,"Black, blue and red.",,模型需定位到视频讲述西部沙漠地区美国原住民民间传说中流传的一种鸟类，叫做雷鸟，并给出了雷鸟的画作，通过观察可以看到是由黑色蓝色和红色画成的。,,,,,,,,,,
13,https://www.youtube.com/watch?v=xRULM5-qFA8,23:42,测评 - 电子产品,1,Is the Panasonic S9 suitable for heavy social media users?,通用知识推理,Yes.,专门给视频爱好者设计的相机，Ins、Tiktok都是非常流行的社交媒体平台，自然很适合社交媒体重度用户。,博主开篇就介绍了这款相机很适合初学者和视频创造者，特别提到了Ins和抖音用户,,,,,,,,,,
,,,,2,Is there a purple Panasonic S9 camera?,"多线索推理,多模态/多语言推理",No.,,需定位到博主介绍相机4种颜色的片段，视频里展示了蓝色、绿色、黑色和粉色，没有紫色,,,,,,,,,,
,,,,3,How many people are there without bread in Chirs's team?,人物属性建模,None.,,Jordan是Chris的朋友，视频后半段才出场。另外两个随Chris出行拍摄的同事也只有零星镜头，仔细观察，他们全都留着胡子，而且都不短。,,,,,,,,,,
,,,,4,Is Jordan a boring or funny guy?,人物属性建模,Funny.,,在Jordan还没出场的时候，Chris就不止一次提起Jordan的笑话，给人留下了风趣的印象。等到Jordan单独介绍S9的时候，你会发现他确实是爱开玩笑，语速很快又幽默的家伙。,,,,,,,,,,
,,,,5,Which video style is black and white for Chris's Panasonic S9?,多模态/多语言推理,Neopan 640.,,定位到Chris和Jordan介绍LUT和视频风格的片段，他俩都没提这个预设的具体效果是什么，但是看出来是黑白效果,,,,,,,,,,
,,,,6,Which camera does Jordan compare the S9 to most often in this video?,多线索推理,Panasonic S52.,,定位到Jordan介绍相机的片段，仔细记录Jordan提及其他相机的次数，S52被提到的次数是最多的。,,,,,,,,,,
,,,,7,Which camera did Jordan mentioned before the Fujifilm X-S20 when comparing the prices?,多跳推理,Sony ZV-E1.,,定位到影片结尾比较价格的片段，在S9之后分别提到了索尼和富士相机。,,,,,,,,,,
,,,,8,Is a mechanical shutter better for beginners?,通用知识推理,No.,Chirs提到了电子快门噪音小、更稳定，因此更适合入门者。机械快门抖动明显，适合抓拍高速移动的物体，不易操控，并不适合初级玩家。,定位到Chris介绍S9快门的部分，这款相机只有电子快门，没有机械快门，他说会劝退一些高级摄影玩家。,,,,,,,,,,
14,https://www.youtube.com/watch?v=eiyOkjE3l_I,20:56,教学 - 烹饪,1,Why does the chicken for chicken mousse need to be frozen? ,通用知识推理,The emulsification process should not exceed 4 to 5 degrees.,视频中制作鸡肉慕斯的鸡肉是冻过的，厨师介绍说乳化过程不能超过4到5度，因此可以推测鸡肉预先冻过也是为了让乳化过程保持在一定温度下。,模型需要通过视觉看到鸡肉是冻在一起的状态，再根据听觉听到厨师介绍说乳化过程不能超过4到5度，根据这两个条件进行分析得出鸡肉预先冻过是为了让乳化过程温度保持在5度以下。,,,,,,,,,,
,,,,2,What should you do to keep the consistency of the chicken mousse? ,通用知识推理,Don't fiddle with it too much after it sets.,厨师说鸡肉慕斯凝固后过多摆弄会破坏它的结构，浓稠度也很难像刚打出来的那样，由此可知为了保持鸡肉慕斯的浓稠度应该在凝固后不要过多摆弄它。,模型需要定位制作鸡肉慕斯的片段，感觉片段最后将搅拌好的鸡肉慕斯盛到碗里备用时厨师说的话可知为了保持鸡肉慕斯的浓稠度应该在凝固后不要过多摆弄它。,,,,,,,,,,
,,,,3,What does the chef make after making Mushroom duxelles in the video? ,多跳推理,Spinach pancake.,,模型需要首先定位到厨师制作Mushroom duxelles的片段，再根据接下来片段中制作的东西来分析，我们可以看到厨师制作的是菠菜饼。,,,,,,,,,,
,,,,4,Is the chef's knife skills good?,"多线索推理,人物属性建模",Yes.,,模型需要根据多个厨师切菜的片段，根据厨师切菜时的速度、裁切好后的颗粒大小和均匀度进行判断，厨师切菜速度很快并且菜切的大小均匀，颗粒很小，且不同蔬菜采取了不同的切法，由此可知这个厨师刀工很好。,,,,,,,,,,
,,,,5,Does the chef expertize in timing and kitchen management skills? ,"多线索推理,人物属性建模",Yes.,,模型需要根据整个视频，厨师能够合理的分配每道工序的进展，由此可知视频中厨师的时间和厨房管理能力很好。,,,,,,,,,,
15,https://www.youtube.com/watch?v=NOHhh48aEdc,21:33,教学 - 烹饪,1,How to judge the quality of oil? ,通用知识推理,"Observe the temperature of the oil when it smokes. The higher the temperature, the better.",视频中Sam说更好的脂肪做的油能在更高温度冒烟，他说他选择的牛油果油能在500度冒烟，由此可知普通的油在不到500度就冒烟了，因此油冒烟时的温度可以判断油的好坏。,模型需要定位Sam介绍油的片段，根据片段中的介绍得出结论。,,,,,,,,,,
,,,,2,Is the beef used in Philly Cheesesteak cubed or sliced? ,通用知识推理,Sliced beef.,Sam说自己预先冻了牛肉，这样可以更容易切薄片，由此可知加入费城奶酪牛排中的牛肉是牛肉片。,模型需要定位Sam切牛肉的片段，根据画面中牛肉的形态分析出使用的是牛肉薄片。,,,,,,,,,,
,,,,3,Can Cheese Whiz be melted directly on the iron plate? ,"多模态/多语言推理,通用知识推理",No.,Sam在融化Cheese Whiz时没有直接放在铁板上，而是装在一个小容器里放在铁板上加热，由此可知Cheese Whiz不能直接在铁板上加热。,模型需要通过听觉识别到Sam正在加热的芝士是Cheese Whiz，再通过视觉看到画面中Cheese Whiz是装在小容器中在铁板上加热的，由此可判断Cheese Whiz不能直接在铁板上加热。,,,,,,,,,,
,,,,4,Does Sam have high requirements for oil quality? ,人物属性建模,Yes.,,模型需要定位Sam推荐牛油果油的片段，他提到牛油果油的脂肪更优质，并介绍了一大段，由此可知Sam对油的品质很注重。,,,,,,,,,,
,,,,5,Does Sam prefer strong or mild cheese? ,人物属性建模,Strong.,,模型需要定位Sam品尝两个用不同奶酪做的费城奶酪牛排的片段，片段中他说先品尝Provolone因为他担心Cheese Whiz的味道会盖过它，因此可判断Cheese Whiz味道更浓郁，最后Sam认为Cheese Whiz做的奶酪牛排更好吃，由此可知Sam更喜欢味道浓郁的奶酪。,,,,,,,,,,
16,https://www.youtube.com/watch?v=tYc1oYQU3rA,24:01,教学 - 烹饪,1,Is Andy working in a professional kitchen now? ,人物属性建模,No.,,模型需要定位视频开头，Andy说这几道菜是几年前在伦敦专业厨房工作时回到家中会做给自己吃的晚饭，由此可知他现在已经不在伦敦专业厨房工作了。,,,,,,,,,,
,,,,2,How many dishes did Andy cook in the video? ,多线索推理,Five.,,模型需要定位到不同菜的片段，通过统计得出Andy一共做了五道菜。,,,,,,,,,,
,,,,3,Does Andy like hard-boiled eggs? ,人物属性建模,No.,,模型需要定位到Andy制作Nicoise Salad的片段，片段中Andy说自己一般鸡蛋会煮7分钟，直到它变得“jamy”，由此可知Andy喜欢吃溏心蛋，而不是全熟的蛋。,,,,,,,,,,
,,,,4,Is the water temperature the same for cooking pasta and instant noodles? ,"多线索推理,通用知识推理",No.,视频中煮泡面是冷水下锅，而意大利面是开水下锅，因此可知煮意大利面和泡面下锅的水温不一样。,模型需要根据Andy煮意大利面和泡面的两个片段进行分析，因为泡面是冷水下锅，而意大利面是开水下锅，因此可知煮意大利面和泡面下锅的水温不一样。,,,,,,,,,,
,,,,5,How to make garlic look good and tasty? ,通用知识推理,Control the oil temperature.,Andy在爆大蒜的时候说这一步温度的控制很关键，想要得到好看又好吃的大蒜需要不高又不低的温度。,模型需要定位Andy做意大利面的片段，根据Andy的话进行分析。,,,,,,,,,,
